feature_family,source,timestamp_semantics,availability_lag,pit_declaration,transformation_lineage,missingness_expectation,provider,contract_status,solvability_class
market_breadth,committed_broad_index_and_sector_breadth_panels,daily_close_available_next_open,t_plus_0_close_used_next_session,constructed_from_current_or_past_only,committed_panel_aggregation,low_offline,baostock_committed_offline,constructed_offline_from_committed_evidence,solvable_offline_now
cross_sectional_dispersion,committed_sector_dispersion_panel,daily_close_available_next_open,t_plus_0_close_used_next_session,constructed_from_current_or_past_only,committed_panel_aggregation,low_offline,baostock_committed_offline,constructed_offline_from_committed_evidence,solvable_offline_now
market_liquidity,committed_liquidity_capital_flow_panel,daily_close_available_next_open,t_plus_0_close_used_next_session,constructed_from_current_or_past_only,committed_panel_aggregation,low_offline,baostock_committed_offline,constructed_offline_from_committed_evidence,solvable_offline_now
volatility_regime,committed_broad_index_volatility_20d,daily_close_available_next_open,t_plus_0_close_used_next_session,constructed_from_current_or_past_only,committed_panel_aggregation,low_offline,baostock_committed_offline,constructed_offline_from_committed_evidence,solvable_offline_now
symbol_liquidity_proxy,committed_symbol_context_panel,daily_close_available_next_open,t_plus_0_close_used_next_session,constructed_from_current_or_past_only,committed_panel_aggregation,low_offline,baostock_committed_offline,available_offline,solvable_offline_now
core_price_volume,akshare_catalog:A_share_core_market_data,daily_close,intra_day,current_or_past_when_fetched,not_yet_constructed_requires_fetch,unknown_until_fetched,akshare_network_gated,cataloged_requires_network,requires_user_credential
index_breadth_and_regime_context,akshare_catalog:index_and_regime_data,daily_close,daily,current_or_past_when_fetched,not_yet_constructed_requires_fetch,unknown_until_fetched,akshare_network_gated,cataloged_requires_network,requires_user_credential
industry_sector_breadth,akshare_catalog:sector_industry_concept_data,daily_close,intra_day,current_or_past_when_fetched,not_yet_constructed_requires_fetch,unknown_until_fetched,akshare_network_gated,cataloged_requires_network,requires_user_credential
northbound_flow_margin_liquidity,akshare_catalog:liquidity_and_capital_flow_data,medium_next_day_publication,daily,requires_publication_date_alignment_before_use,not_yet_constructed_requires_fetch,unknown_until_fetched,akshare_network_gated,cataloged_requires_network,requires_user_credential
fundamental_corporate_event,akshare_catalog:fundamental_and_corporate_event_data,reported_with_publication_lag,quarterly,requires_publication_date_alignment_before_use,not_yet_constructed_requires_fetch,unknown_until_fetched,akshare_network_gated,cataloged_requires_network,requires_user_credential
volume_price_microstructure_gap,akshare_catalog:trading_microstructure_and_event_data,intraday_or_daily,daily,current_or_past_when_fetched,not_yet_constructed_requires_fetch,unknown_until_fetched,akshare_network_gated,cataloged_requires_network,requires_user_credential
macro_rates_fx_context,akshare_catalog:macro_rates_bonds_fx_data,low_frequency_lagged,monthly,requires_publication_date_alignment_before_use,not_yet_constructed_requires_fetch,unknown_until_fetched,akshare_network_gated,cataloged_requires_network,requires_user_credential
fund_etf_flow_context,akshare_catalog:fund_etf_qdii_data,daily_close,daily,requires_publication_date_alignment_before_use,not_yet_constructed_requires_fetch,unknown_until_fetched,akshare_network_gated,cataloged_requires_network,requires_user_credential
futures_commodity_context,akshare_catalog:futures_commodities_energy_options_data,daily_settlement,daily,current_or_past_when_fetched,not_yet_constructed_requires_fetch,unknown_until_fetched,akshare_network_gated,cataloged_requires_network,requires_user_credential
news_policy_alternative,akshare_catalog:news_nlp_policy_alternative_data,event_time_high_pit_risk,event_driven,requires_publication_date_alignment_before_use,not_yet_constructed_requires_fetch,unknown_until_fetched,akshare_network_gated,cataloged_requires_network,requires_user_credential
