field_name,frozen_value,experiment_status,research_only,not_trading_advice,not_for_execution
frozen_configuration,goal_premarket_position_management_operational01_contract_v1,prepared_not_started,true,true,true
frozen_policy_set,equal_weight;inverse_volatility;minimum_variance_diagonal;hrp_correlation_cluster,prepared_not_started,true,true,true
frozen_band_methodology,risk_budget_band_from_reference_policy_volatility_and_regime,prepared_not_started,true,true,true
frozen_thresholds,gross<=1.00;cash=0.00_to_0.05;volatility<=0.35;abs_beta<=1.20,prepared_not_started,true,true,true
transaction_cost_assumptions,0;10;30,prepared_not_started,true,true,true
decision_timestamp,08:30:00+08:00 premarket deterministic timestamp,prepared_not_started,true,true,true
eligible_trading_days,future_owner_authorized_one_month_window_only_not_backfilled,prepared_not_started,true,true,true
immutable_snapshot_contract,outputs/research/premarket_position_management/YYYY-MM-DD/manifest.json,prepared_not_started,true,true,true
shadow_ledger_contract,future_shadow_ledger_no_broker_no_paper_trading_started,prepared_not_started,true,true,true
evaluation_metrics,readiness_state;constraint_breaches;band_status_counts;abstention_count;exposure_envelope_state,prepared_not_started,true,true,true
preferred_research_policy,no_single_robust_winner,prepared_not_started,true,true,true
