candidate_id,threshold_sensitivity,in_sample_vs_holdout_sign_reversal,walk_forward_cross_fold_sign_consistency,aligned_horizon_count,horizon_dependence,small_sample_fragility,multiple_testing_family_size,bonferroni_note,promotion_guard,non_actionable_disclaimer
alpha_benchmark_relative_strength_20d__downside_risk_filtered,not_boundary_sensitive,false,1.0,3,multi_horizon,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_cross_sectional_zscore,not_boundary_sensitive,false,1.0,3,multi_horizon,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_cross_sectional_rank,not_boundary_sensitive,false,1.0,3,multi_horizon,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_winsorized_zscore,not_boundary_sensitive,false,1.0,3,multi_horizon,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_benchmark_relative_strength_20d__horizon_specific,not_boundary_sensitive,false,0.5,3,multi_horizon,adequate,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_cross_sectional_zscore,not_boundary_sensitive,false,0.5,3,multi_horizon,adequate,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_cross_sectional_rank,not_boundary_sensitive,false,1.0,3,multi_horizon,adequate,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_winsorized_zscore,not_boundary_sensitive,false,1.0,3,multi_horizon,adequate,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered,not_boundary_sensitive,true,0.5,3,multi_horizon,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_cross_sectional_zscore,not_boundary_sensitive,true,0.5,3,multi_horizon,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
