symbol,exchange,name,sector,universe_group,candidate_reason,liquidity_proxy,is_st,is_suspended_recently,is_blocked,source_coverage_status,approval_status,notes
002475.SZ,SZ,Luxshare Precision,Electronics,current_approved,existing clean bootstrap approved symbol,current_fixture,true_false_not_applicable,false,false,false,contract_fixture_available,approved,Already approved in active workflow.
600036.SH,SH,China Merchants Bank,Banks,current_approved,existing clean bootstrap approved symbol,current_fixture,true_false_not_applicable,false,false,false,contract_fixture_available,approved,Already approved in active workflow.
000001.SZ,SZ,Ping An Bank,Banks,engineering_pilot_candidate,large-cap liquid A-share seed for future source-backed coverage review,high,false,false,false,not_verified_in_clean_repo,proposed,Not active until source coverage passes.
000333.SZ,SZ,Midea Group,Home Appliances,engineering_pilot_candidate,large-cap liquid A-share seed for future source-backed coverage review,high,false,false,false,not_verified_in_clean_repo,proposed,Not active until source coverage passes.
300750.SZ,SZ,CATL,Battery,engineering_pilot_candidate,large-cap liquid A-share seed for future source-backed coverage review,high,false,false,false,not_verified_in_clean_repo,proposed,Not active until source coverage passes.
600519.SH,SH,Kweichow Moutai,Food and Beverage,engineering_pilot_candidate,large-cap liquid A-share seed for future source-backed coverage review,high,false,false,false,not_verified_in_clean_repo,proposed,Not active until source coverage passes.
600900.SH,SH,China Yangtze Power,Utilities,engineering_pilot_candidate,large-cap liquid A-share seed for future source-backed coverage review,high,false,false,false,not_verified_in_clean_repo,proposed,Not active until source coverage passes.
601318.SH,SH,Ping An Insurance,Insurance,engineering_pilot_candidate,large-cap liquid A-share seed for future source-backed coverage review,high,false,false,false,not_verified_in_clean_repo,proposed,Not active until source coverage passes.
000625.SZ,SZ,Changan Automobile,Autos,blocked_pending,existing blocked/pending symbol from project governance,unknown,false,false,true,blocked_by_project_policy,blocked_pending,Must not enter active outputs.
000858.SZ,SZ,Wuliangye,Food and Beverage,blocked_pending,existing blocked/pending symbol from project governance,unknown,false,false,true,blocked_by_project_policy,blocked_pending,Must not enter active outputs.
601138.SH,SH,Foxconn Industrial Internet,Electronics,blocked_pending,existing blocked/pending symbol from project governance,unknown,false,false,true,blocked_by_project_policy,blocked_pending,Must not enter active outputs.
601208.SH,SH,East Material,Chemicals,blocked_pending,existing blocked/pending symbol from project governance,unknown,false,false,true,blocked_by_project_policy,blocked_pending,Must not enter active outputs.
