constraint_id,constraint_family,scope,description,threshold,substantive_constraint,evidence_required,fail_closed_behavior,actionability,research_only,not_trading_advice,not_for_execution
max_symbol_weight,research_position_risk_constraint,symbol,single-name exposure must not exceed 10%,<=0.10,false,committed research evidence,abstain_or_block_precise_band_when_required_evidence_is_unavailable,non_actionable_no_order_instruction,true,true,true
max_symbol_risk_contribution,research_position_risk_constraint,symbol,single-name diagonal risk contribution must not exceed 20%,<=0.20,false,committed research evidence,abstain_or_block_precise_band_when_required_evidence_is_unavailable,non_actionable_no_order_instruction,true,true,true
min_history_observations,research_position_risk_constraint,symbol,symbol must have at least 120 eligible return observations,>=120,false,committed research evidence,abstain_or_block_precise_band_when_required_evidence_is_unavailable,non_actionable_no_order_instruction,true,true,true
quarantined_rows_excluded,research_position_risk_constraint,dataset,provider-quarantined rows must be excluded from risk fitting,true,false,committed research evidence,abstain_or_block_precise_band_when_required_evidence_is_unavailable,non_actionable_no_order_instruction,true,true,true
research_reference_only_without_holdings,research_position_risk_constraint,portfolio,no current holdings may be fabricated,current_holdings_supplied=false,false,committed research evidence,abstain_or_block_precise_band_when_required_evidence_is_unavailable,non_actionable_no_order_instruction,true,true,true
no_action_instruction,research_position_risk_constraint,portfolio,constraint engine cannot emit trade instructions,action_instruction=none,false,committed research evidence,abstain_or_block_precise_band_when_required_evidence_is_unavailable,non_actionable_no_order_instruction,true,true,true
gross_exposure_max,research_position_risk_constraint,portfolio,gross research exposure may not exceed 100%,<=1.00,true,reference weights,abstain_or_block_precise_band_when_required_evidence_is_unavailable,non_actionable_no_order_instruction,true,true,true
cash_buffer_band,research_position_risk_constraint,portfolio,cash buffer must be inside the owner-supplied band when real holdings exist,0.00_to_0.05,true,current holdings cash snapshot,abstain_or_block_precise_band_when_required_evidence_is_unavailable,non_actionable_no_order_instruction,true,true,true
turnover_limit,research_position_risk_constraint,portfolio,one-way turnover from equal-weight reference must remain bounded,<=0.50,true,policy weights,abstain_or_block_precise_band_when_required_evidence_is_unavailable,non_actionable_no_order_instruction,true,true,true
volatility_budget,research_position_risk_constraint,portfolio,annualized reference volatility must remain inside research budget,<=0.35,true,historical returns,abstain_or_block_precise_band_when_required_evidence_is_unavailable,non_actionable_no_order_instruction,true,true,true
cluster_concentration_cap,research_position_risk_constraint,portfolio,largest correlation-cluster weight share must remain diversified,<=0.60,true,correlation clusters,abstain_or_block_precise_band_when_required_evidence_is_unavailable,non_actionable_no_order_instruction,true,true,true
beta_budget,research_position_risk_constraint,portfolio,absolute reference beta to CSI300 must remain bounded,<=1.20,true,index returns,abstain_or_block_precise_band_when_required_evidence_is_unavailable,non_actionable_no_order_instruction,true,true,true
liquidity_limit,research_position_risk_constraint,symbol,liquidity capacity requires volume or amount evidence,capacity_from_volume_or_amount,true,volume or amount,abstain_or_block_precise_band_when_required_evidence_is_unavailable,non_actionable_no_order_instruction,true,true,true
