summary_type,summary_key,source_count,approved_usage_values,priority_bands,notes
category,A_share_core_market_data,11,approved_for_provider_health_only;approved_for_regime_label;approved_for_symbol_diagnostics;experimental_requires_review;future_review_only;research_context_only,P0_market_regime_core;P1_symbol_context_and_event;P3_context_only_or_experimental,metadata_only_catalog_no_live_fetch
category,blocked_or_future_only,3,blocked;future_review_only,BLOCKED_boundary_or_pit_risk,metadata_only_catalog_no_live_fetch
category,fund_etf_qdii_data,3,approved_for_research_context;research_context_only,P2_macro_fundamental_medium_term,metadata_only_catalog_no_live_fetch
category,fundamental_and_corporate_event_data,10,approved_for_research_context;approved_for_symbol_diagnostics;future_review_only;research_context_only,P1_symbol_context_and_event;P2_macro_fundamental_medium_term,metadata_only_catalog_no_live_fetch
category,futures_commodities_energy_options_data,3,approved_for_research_context;future_review_only,P2_macro_fundamental_medium_term,metadata_only_catalog_no_live_fetch
category,index_and_regime_data,10,approved_for_regime_label;approved_for_research_context;research_context_only,P0_market_regime_core;P2_macro_fundamental_medium_term,metadata_only_catalog_no_live_fetch
category,liquidity_and_capital_flow_data,9,approved_for_regime_label;approved_for_research_context;approved_for_symbol_diagnostics;experimental_requires_review;future_review_only;research_context_only,P0_market_regime_core;P1_symbol_context_and_event;P3_context_only_or_experimental,metadata_only_catalog_no_live_fetch
category,macro_rates_bonds_fx_data,4,approved_for_research_context,P2_macro_fundamental_medium_term,metadata_only_catalog_no_live_fetch
category,news_nlp_policy_alternative_data,4,blocked;research_context_only,BLOCKED_boundary_or_pit_risk;P3_context_only_or_experimental,metadata_only_catalog_no_live_fetch
category,sector_industry_concept_data,7,approved_for_provider_health_only;approved_for_regime_label;approved_for_research_context;future_review_only;research_context_only,P0_market_regime_core;P1_symbol_context_and_event,metadata_only_catalog_no_live_fetch
category,trading_microstructure_and_event_data,6,approved_for_symbol_diagnostics;experimental_requires_review;research_context_only,P1_symbol_context_and_event;P3_context_only_or_experimental,metadata_only_catalog_no_live_fetch
approved_usage,approved_for_provider_health_only,4,approved_for_provider_health_only,P0_market_regime_core;P1_symbol_context_and_event,metadata_only_catalog_no_live_fetch
approved_usage,approved_for_regime_label,12,approved_for_regime_label,P0_market_regime_core,metadata_only_catalog_no_live_fetch
approved_usage,approved_for_research_context,13,approved_for_research_context,P0_market_regime_core;P1_symbol_context_and_event;P2_macro_fundamental_medium_term,metadata_only_catalog_no_live_fetch
approved_usage,approved_for_symbol_diagnostics,9,approved_for_symbol_diagnostics,P0_market_regime_core;P1_symbol_context_and_event,metadata_only_catalog_no_live_fetch
approved_usage,blocked,4,blocked,BLOCKED_boundary_or_pit_risk,metadata_only_catalog_no_live_fetch
approved_usage,experimental_requires_review,5,experimental_requires_review,P3_context_only_or_experimental,metadata_only_catalog_no_live_fetch
approved_usage,future_review_only,10,future_review_only,BLOCKED_boundary_or_pit_risk;P0_market_regime_core;P1_symbol_context_and_event;P2_macro_fundamental_medium_term,metadata_only_catalog_no_live_fetch
approved_usage,research_context_only,13,research_context_only,P0_market_regime_core;P1_symbol_context_and_event;P2_macro_fundamental_medium_term;P3_context_only_or_experimental,metadata_only_catalog_no_live_fetch
priority_band,BLOCKED_boundary_or_pit_risk,5,blocked;future_review_only,BLOCKED_boundary_or_pit_risk,metadata_only_catalog_no_live_fetch
priority_band,P0_market_regime_core,20,approved_for_provider_health_only;approved_for_regime_label;approved_for_research_context;approved_for_symbol_diagnostics;future_review_only;research_context_only,P0_market_regime_core,metadata_only_catalog_no_live_fetch
priority_band,P1_symbol_context_and_event,22,approved_for_provider_health_only;approved_for_research_context;approved_for_symbol_diagnostics;future_review_only;research_context_only,P1_symbol_context_and_event,metadata_only_catalog_no_live_fetch
priority_band,P2_macro_fundamental_medium_term,15,approved_for_research_context;future_review_only;research_context_only,P2_macro_fundamental_medium_term,metadata_only_catalog_no_live_fetch
priority_band,P3_context_only_or_experimental,8,experimental_requires_review;research_context_only,P3_context_only_or_experimental,metadata_only_catalog_no_live_fetch
