entry_type,name,category,count,implementation_status,network_default,availability,solvability_class,notes
provider,baostock,provider_registry,1,implemented_committed_evidence_provider,disabled,available_offline,solvable_offline_now,Provider02B panel already uses committed source-backed evidence; no live fetch is performed by Architecture Refactor 03.
provider,akshare,provider_registry,1,cataloged_planned_provider,disabled,requires_user_credential,requires_user_credential,Cataloged for future data expansion; Architecture Refactor 03 does not fetch full AKShare datasets.
provider,local_import,provider_registry,1,implemented_fallback,disabled,available_offline,solvable_offline_now,Supports deterministic validation when live providers are disabled.
provider,tushare_pro,provider_registry,1,optional_smoke_test_only,disabled,requires_user_credential,requires_user_credential,Architecture Refactor 03 does not inspect or require Tushare credentials.
source_category,A_share_core_market_data,A_share_core_market_data,11,0_fetched_0_blocked_of_11,disabled,cataloged_requires_network,requires_user_credential,1_high_pit_risk_sources; adding non-fetched sources requires ASHARE_ALLOW_NETWORK_INGESTION=1
source_category,blocked_or_future_only,blocked_or_future_only,3,1_fetched_2_blocked_of_3,disabled,unavailable,unavailable,3_high_pit_risk_sources; adding non-fetched sources requires ASHARE_ALLOW_NETWORK_INGESTION=1
source_category,fund_etf_qdii_data,fund_etf_qdii_data,3,0_fetched_0_blocked_of_3,disabled,cataloged_requires_network,requires_user_credential,1_high_pit_risk_sources; adding non-fetched sources requires ASHARE_ALLOW_NETWORK_INGESTION=1
source_category,fundamental_and_corporate_event_data,fundamental_and_corporate_event_data,10,0_fetched_0_blocked_of_10,disabled,cataloged_requires_network,requires_user_credential,7_high_pit_risk_sources; adding non-fetched sources requires ASHARE_ALLOW_NETWORK_INGESTION=1
source_category,futures_commodities_energy_options_data,futures_commodities_energy_options_data,3,0_fetched_0_blocked_of_3,disabled,cataloged_requires_network,requires_user_credential,1_high_pit_risk_sources; adding non-fetched sources requires ASHARE_ALLOW_NETWORK_INGESTION=1
source_category,index_and_regime_data,index_and_regime_data,10,0_fetched_0_blocked_of_10,disabled,cataloged_requires_network,requires_user_credential,0_high_pit_risk_sources; adding non-fetched sources requires ASHARE_ALLOW_NETWORK_INGESTION=1
source_category,liquidity_and_capital_flow_data,liquidity_and_capital_flow_data,9,0_fetched_0_blocked_of_9,disabled,cataloged_requires_network,requires_user_credential,3_high_pit_risk_sources; adding non-fetched sources requires ASHARE_ALLOW_NETWORK_INGESTION=1
source_category,macro_rates_bonds_fx_data,macro_rates_bonds_fx_data,4,0_fetched_0_blocked_of_4,disabled,cataloged_requires_network,requires_user_credential,0_high_pit_risk_sources; adding non-fetched sources requires ASHARE_ALLOW_NETWORK_INGESTION=1
source_category,news_nlp_policy_alternative_data,news_nlp_policy_alternative_data,4,0_fetched_2_blocked_of_4,disabled,cataloged_requires_network,requires_user_credential,4_high_pit_risk_sources; adding non-fetched sources requires ASHARE_ALLOW_NETWORK_INGESTION=1
source_category,sector_industry_concept_data,sector_industry_concept_data,7,0_fetched_0_blocked_of_7,disabled,cataloged_requires_network,requires_user_credential,1_high_pit_risk_sources; adding non-fetched sources requires ASHARE_ALLOW_NETWORK_INGESTION=1
source_category,trading_microstructure_and_event_data,trading_microstructure_and_event_data,6,0_fetched_0_blocked_of_6,disabled,cataloged_requires_network,requires_user_credential,3_high_pit_risk_sources; adding non-fetched sources requires ASHARE_ALLOW_NETWORK_INGESTION=1
