factor_id,factor_family,no_lookahead_status,bucket_status,ic_rankic_status,monotonicity_status,rolling_stability_status,horizon_consistency_status,score_validity_classification,accepted_for_downstream,candidate_for_rec_tiering,rejection_reason,recommended_next_action
alpha_short_reversal_1d,short_term_reversal,passed_current_or_past_only,not_collapsed,ic_rankic_available,directionally_inconsistent_or_inverse,factor_unstable,horizons_conflicting,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
alpha_short_reversal_5d,short_term_reversal,passed_current_or_past_only,not_collapsed,ic_rankic_available,directionally_inconsistent_or_inverse,factor_unstable,horizons_conflicting,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
alpha_benchmark_relative_strength_5d,benchmark_relative_strength,passed_current_or_past_only,not_collapsed,ic_rankic_available,directionally_inconsistent_or_inverse,factor_unstable,horizons_conflicting,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
alpha_liquidity_pressure_5d,liquidity_pressure,passed_current_or_past_only,not_collapsed,ic_rankic_available,directionally_inconsistent_or_inverse,factor_unstable,horizons_conflicting,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
alpha_turnover_pressure_20d,liquidity_pressure,passed_current_or_past_only,not_collapsed,ic_rankic_available,directionally_inconsistent_or_inverse,factor_unstable,horizons_conflicting,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
alpha_price_volume_confirmation_5d,price_volume_confirmation,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
alpha_intraday_recovery_pressure,gap_intraday_pressure,passed_current_or_past_only,collapsed_or_imbalanced,ic_rankic_available,directionally_inconsistent_or_inverse,factor_unstable,horizons_conflicting,factor_requires_redefinition,false,false,bucket_distribution_collapsed_or_minimum_bucket_size_unacceptable,redefine_or_collect_more_candidate_evidence_before_rec_tiering
alpha_intraday_weakness_pressure,gap_intraday_pressure,passed_current_or_past_only,collapsed_or_imbalanced,ic_rankic_available,directionally_inconsistent_or_inverse,factor_unstable,horizons_conflicting,factor_requires_redefinition,false,false,bucket_distribution_collapsed_or_minimum_bucket_size_unacceptable,redefine_or_collect_more_candidate_evidence_before_rec_tiering
alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
