file_path,module_layer,goal_owner,line_count,public_functions,runner_dependency_count,audit_dependency_count,provider_dependency_count,output_dependency_count,refactor_status,notes
src/ashare_premarket/__init__.py,__init__.py,shared_infrastructure,4,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/architecture/__init__.py,architecture,shared_infrastructure,2,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/architecture/goal_architecture_refactor03.py,architecture,goal_architecture_refactor03,838,run_goal_architecture_refactor03_gate;audit_goal_architecture_refactor03_gate;evaluate_goal_architecture_refactor03;goal_architecture_refactor03_valid_evidence;implemented_workflow_patch;locked_goal_data_expansion_research01_patch;locked_goal_quant_research04_patch;locked_goal_rec_tiering01_patch;locked_goal10b4_patch;locked_position_band_validation_patch;locked_goal10d_patch,8,14,69,23,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/audit/__init__.py,audit,shared_infrastructure,2,,0,0,0,0,common_module_prepared,eligible_for_future_incremental_refactor_review
src/ashare_premarket/audit/common.py,audit,shared_infrastructure,83,scan_artifact_sizes;duplicate_key_failures;forbidden_lookahead_columns;scan_forbidden_output_terms;scan_token_secret_leakage;lineage_failures;workflow_lock_failures,0,0,0,0,common_module_prepared,eligible_for_future_incremental_refactor_review
src/ashare_premarket/backtest/__init__.py,backtest,shared_infrastructure,2,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/backtest/goal10b.py,backtest,goal10b,1197,run_goal10b_recommendation_backtest_review_only;audit_goal10b_recommendation_backtest_review_only;evaluate_goal10b_recommendation_backtest_review_only;goal10b_valid_review_only_evidence;goal10b_implemented_workflow_patch;locked_goal10c_patch;locked_goal10d_patch,6,5,1,52,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/backtest/goal10b1.py,backtest,goal10b1,1118,run_goal10b1_backtest_coverage_repair_gate;audit_goal10b1_backtest_coverage_repair_gate;evaluate_goal10b1_backtest_coverage_repair_gate;goal10b1_valid_coverage_repair_evidence;goal10b1_implemented_workflow_patch;locked_goal10c_patch;locked_goal10d_patch,6,6,2,49,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/backtest/goal10b2.py,backtest,goal10b2,879,run_goal10b2_recommendation_backtest_revalidation;audit_goal10b2_recommendation_backtest_revalidation;evaluate_goal10b2_recommendation_backtest_revalidation;goal10b2_valid_revalidation_evidence;goal10b2_implemented_workflow_patch;locked_goal10c_patch;locked_goal10d_patch,6,5,1,44,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/backtest/goal10b3.py,backtest,goal10b3,1154,run_goal10b3_dc03_recommendation_revalidation_gate;audit_goal10b3_dc03_recommendation_revalidation_gate;evaluate_goal10b3_dc03_recommendation_revalidation_gate;goal10b3_valid_dc03_revalidation_evidence;goal10b3_implemented_workflow_patch;locked_goal10d_patch,6,5,17,47,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/backtest/goal10c.py,backtest,goal10c,786,run_goal10c_cost_slippage_sensitivity_gate;audit_goal10c_cost_slippage_sensitivity_gate;evaluate_goal10c_cost_slippage_sensitivity_gate;goal10c_valid_cost_slippage_evidence;goal10c_implemented_workflow_patch;locked_goal10d_patch,6,5,1,47,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/contract_design/__init__.py,contract_design,shared_infrastructure,1,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/contract_design/goal08a.py,contract_design,goal08a,1058,run_goal08a_recommendation_contract_design_gate;audit_goal08a_recommendation_contract_design_gate;load_goal08a_design_bundle;evaluate_goal08a_design_gate,6,6,4,40,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/contract_design/goal08b0.py,contract_design,goal08b0,924,run_goal08b0_recommendation_review_only_unlock_gate;audit_goal08b0_recommendation_review_only_unlock_gate;load_goal08b0_unlock_bundle;evaluate_goal08b0_unlock_gate;goal08b0_valid_unlock_evidence,6,9,2,52,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/contract_design/goal090.py,contract_design,goal090,895,run_goal090_position_band_review_only_unlock_gate;audit_goal090_position_band_review_only_unlock_gate;load_goal090_unlock_bundle;evaluate_goal090_unlock_gate;goal090_valid_unlock_evidence;forbidden_goal090_source_fields;goal09_eligible_workflow_patch;goal09_locked_workflow_patch,6,10,2,32,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/contract_design/goal091.py,contract_design,goal091,958,run_goal091_position_band_warning_dashboard_readiness_gate;audit_goal091_position_band_warning_dashboard_readiness_gate;load_goal091_dashboard_readiness_bundle;evaluate_goal091_dashboard_readiness;goal091_valid_dashboard_readiness_evidence;goal091_implemented_workflow_patch,6,15,12,41,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/contract_design/goal10a.py,contract_design,goal10a,1078,run_goal10a_backtest_contract_design_gate;audit_goal10a_backtest_contract_design_gate;evaluate_goal10a_backtest_contract_design_gate;goal10a_valid_design_evidence;goal10a_implemented_workflow_patch,7,6,2,68,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/contracts/__init__.py,contracts,shared_infrastructure,2,,0,0,0,0,common_module_prepared,eligible_for_future_incremental_refactor_review
src/ashare_premarket/contracts/common.py,contracts,shared_infrastructure,75,validate_schema;validate_csv_schema,0,0,0,0,common_module_prepared,eligible_for_future_incremental_refactor_review
src/ashare_premarket/core/__init__.py,core,shared_infrastructure,1,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/core/constants.py,core,shared_infrastructure,695,,62,95,77,398,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/core/io.py,core,shared_infrastructure,46,read_csv;write_csv;write_text;read_json;write_json,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/core/paths.py,core,shared_infrastructure,23,repo_root;ensure_parent;rel,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/core/workflow.py,core,shared_infrastructure,105,,56,89,110,338,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/core/workflow_preservation.py,core,shared_infrastructure,1522,preserve_later_review_only_workflow_states;preserve_later_review_only_capabilities,5,5,82,38,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/data/__init__.py,data,shared_infrastructure,1,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/data/coverage.py,data,shared_infrastructure,389,audit_data_source_coverage,0,1,21,15,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/data/source_health.py,data,shared_infrastructure,21,source_health_rows;source_health_score;active_source_count,0,0,1,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/data/trading_calendar.py,data,shared_infrastructure,26,trading_calendar;is_trading_day;next_trading_day,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/datasets/__init__.py,datasets,shared_infrastructure,1,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/datasets/feature_label_merge.py,datasets,shared_infrastructure,142,build_model_ready_candidate_dataset;audit_feature_label_leakage,0,2,0,10,inventory_only,eligible_for_future_incremental_refactor_review
src/ashare_premarket/diagnostics/__init__.py,diagnostics,shared_infrastructure,1,,0,0,0,0,inventory_only,eligible_for_future_incremental_refactor_review
