feature_family,source,timestamp_semantics,availability_lag,publication_date_required,point_in_time_risk_level,survivorship_bias_risk,lookahead_risk,pit_declaration,contract_status
market_breadth,committed_broad_index_and_sector_breadth_panels,daily_close_available_next_open,t_plus_0,false,low,low,low,passed_current_or_past_only,constructed_offline_from_committed_evidence
cross_sectional_dispersion,committed_sector_dispersion_panel,daily_close_available_next_open,t_plus_0,false,low,low,low,passed_current_or_past_only,constructed_offline_from_committed_evidence
market_liquidity,committed_liquidity_capital_flow_panel,daily_close_available_next_open,t_plus_0,false,low,low,low,passed_current_or_past_only,constructed_offline_from_committed_evidence
volatility_regime,committed_broad_index_volatility_20d,daily_close_available_next_open,t_plus_0,false,low,low,low,passed_current_or_past_only,constructed_offline_from_committed_evidence
symbol_liquidity_proxy,committed_symbol_context_panel,daily_close_available_next_open,t_plus_0,false,low,low,low,passed_current_or_past_only,available_offline
core_price_volume,akshare_catalog:A_share_core_market_data,daily_close,intra_day,false,medium,medium,medium,must_align_to_publication_date_before_evaluation,cataloged_requires_network
index_breadth_and_regime_context,akshare_catalog:index_and_regime_data,daily_close,daily,false,low,low,low,must_align_to_publication_date_before_evaluation,cataloged_requires_network
industry_sector_breadth,akshare_catalog:sector_industry_concept_data,daily_close,intra_day,false,medium,medium,medium,must_align_to_publication_date_before_evaluation,cataloged_requires_network
northbound_flow_margin_liquidity,akshare_catalog:liquidity_and_capital_flow_data,medium_next_day_publication,daily,true,medium,medium,medium,must_align_to_publication_date_before_evaluation,cataloged_requires_network
fundamental_corporate_event,akshare_catalog:fundamental_and_corporate_event_data,reported_with_publication_lag,quarterly,true,high,high,high,must_align_to_publication_date_before_evaluation,cataloged_requires_network
volume_price_microstructure_gap,akshare_catalog:trading_microstructure_and_event_data,intraday_or_daily,daily,false,medium,medium,medium,must_align_to_publication_date_before_evaluation,cataloged_requires_network
macro_rates_fx_context,akshare_catalog:macro_rates_bonds_fx_data,low_frequency_lagged,monthly,true,medium,low,medium,must_align_to_publication_date_before_evaluation,cataloged_requires_network
fund_etf_flow_context,akshare_catalog:fund_etf_qdii_data,daily_close,daily,true,medium,medium,medium,must_align_to_publication_date_before_evaluation,cataloged_requires_network
futures_commodity_context,akshare_catalog:futures_commodities_energy_options_data,daily_settlement,daily,false,medium,low,medium,must_align_to_publication_date_before_evaluation,cataloged_requires_network
news_policy_alternative,akshare_catalog:news_nlp_policy_alternative_data,event_time_high_pit_risk,event_driven,true,high,medium,high,must_align_to_publication_date_before_evaluation,cataloged_requires_network
