factor_id,factor_family,regime_split_status,regime_tags_evaluated,no_lookahead_regime_status,notes
risk_score_numeric,risk_score,regime_split_not_evaluable,,not_evaluable_no_committed_trailing_benchmark_state_inputs,"Provider02B contains benchmark forward-return fields for post-hoc evaluation, but this gate has no committed trailing benchmark state series for no-lookahead regime construction."
downside_risk_score_numeric,downside_risk_score,regime_split_not_evaluable,,not_evaluable_no_committed_trailing_benchmark_state_inputs,"Provider02B contains benchmark forward-return fields for post-hoc evaluation, but this gate has no committed trailing benchmark state series for no-lookahead regime construction."
volatility_component,risk_component,regime_split_not_evaluable,,not_evaluable_no_committed_trailing_benchmark_state_inputs,"Provider02B contains benchmark forward-return fields for post-hoc evaluation, but this gate has no committed trailing benchmark state series for no-lookahead regime construction."
momentum_component,momentum_component,regime_split_not_evaluable,,not_evaluable_no_committed_trailing_benchmark_state_inputs,"Provider02B contains benchmark forward-return fields for post-hoc evaluation, but this gate has no committed trailing benchmark state series for no-lookahead regime construction."
abnormal_positive_movement_flag,abnormal_movement_flag,regime_split_not_evaluable,,not_evaluable_no_committed_trailing_benchmark_state_inputs,"Provider02B contains benchmark forward-return fields for post-hoc evaluation, but this gate has no committed trailing benchmark state series for no-lookahead regime construction."
abnormal_negative_movement_flag,abnormal_movement_flag,regime_split_not_evaluable,,not_evaluable_no_committed_trailing_benchmark_state_inputs,"Provider02B contains benchmark forward-return fields for post-hoc evaluation, but this gate has no committed trailing benchmark state series for no-lookahead regime construction."
provider_crosscheck_component,source_quality_component,regime_split_not_evaluable,,not_evaluable_no_committed_trailing_benchmark_state_inputs,"Provider02B contains benchmark forward-return fields for post-hoc evaluation, but this gate has no committed trailing benchmark state series for no-lookahead regime construction."
data_quality_risk_component,source_quality_component,regime_split_not_evaluable,,not_evaluable_no_committed_trailing_benchmark_state_inputs,"Provider02B contains benchmark forward-return fields for post-hoc evaluation, but this gate has no committed trailing benchmark state series for no-lookahead regime construction."
liquidity_risk_component,liquidity_component,regime_split_not_evaluable,,not_evaluable_no_committed_trailing_benchmark_state_inputs,"Provider02B contains benchmark forward-return fields for post-hoc evaluation, but this gate has no committed trailing benchmark state series for no-lookahead regime construction."
trading_status_risk_component,trading_status_component,regime_split_not_evaluable,,not_evaluable_no_committed_trailing_benchmark_state_inputs,"Provider02B contains benchmark forward-return fields for post-hoc evaluation, but this gate has no committed trailing benchmark state series for no-lookahead regime construction."
st_status_risk_component,trading_status_component,regime_split_not_evaluable,,not_evaluable_no_committed_trailing_benchmark_state_inputs,"Provider02B contains benchmark forward-return fields for post-hoc evaluation, but this gate has no committed trailing benchmark state series for no-lookahead regime construction."
