refined_factor_id,source_factor_id,refinement_type,factor_family,no_lookahead_status,bucket_status,ic_rankic_status,monotonicity_status,rolling_stability_status,horizon_consistency_status,refinement_improvement_status,score_validity_classification,accepted_for_downstream,candidate_for_rec_tiering,rejection_reason,recommended_next_action
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_not_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_not_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,horizon_specific,downside_volatility_adjusted_signal,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,liquidity_filtered,downside_volatility_adjusted_signal,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_not_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,review_queue_conditioned,downside_volatility_adjusted_signal,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_not_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d,risk_filtered,downside_volatility_adjusted_signal,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d,downside_risk_filtered,price_volume_confirmation,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
alpha_price_volume_confirmation_5d__horizon_specific,alpha_price_volume_confirmation_5d,horizon_specific,price_volume_confirmation,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
