factor_id,source_factor_id,factor_family,overall_factor_status,candidate_for_rec_tiering,global_ic_1d,ic_sign_consistency,ic_rankic_status,ic_stability_status,monotonicity_status,regime_consistency_status,regime_sample_sufficiency,transition_sensitivity,horizon_consistency_status,refinement_improvement_status,pit_validity,leakage_validity,missingness_rate,cross_sectional_coverage,temporal_coverage,symbol_concentration_top_share,provider_diversity,multiple_testing_note,quant03_candidate_threshold_failure_reason,binding_constraint,non_actionable_disclaimer
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,conditionally_useful,false,0.031447,0.59,ic_rankic_available,factor_unstable,expected_direction_aligned,regime_specific_review_only,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_partially_improved,passed_current_or_past_only,passed_current_or_past_only,0.2053,50_symbols,120_dates,0.021,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,conditionally_useful,false,0.015949,0.6,ic_rankic_available,factor_unstable,expected_direction_aligned,regime_specific_review_only,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_partially_improved,passed_current_or_past_only,passed_current_or_past_only,0.1667,50_symbols,120_dates,0.02,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,conditionally_useful,false,0.00584,0.57,ic_rankic_available,factor_unstable,expected_direction_aligned,regime_specific_review_only,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_not_improved,passed_current_or_past_only,passed_current_or_past_only,0.35,50_symbols,120_dates,0.0256,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,not_ready,false,0.019078,0.56,ic_rankic_available,factor_unstable,expected_direction_aligned,not_useful_in_any_regime,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_not_improved,passed_current_or_past_only,passed_current_or_past_only,0.7833,50_symbols,120_dates,0.0769,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,not_ready,false,0.024293,0.55,ic_rankic_available,factor_unstable,expected_direction_aligned,not_useful_in_any_regime,5/6_informative,regime_insensitive_or_weak_review_only,horizons_consistent_positive,refined_candidate_partially_improved,passed_current_or_past_only,passed_current_or_past_only,0.2108,50_symbols,120_dates,0.0211,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,conditionally_useful,false,0.034377,0.59,ic_rankic_available,factor_unstable,expected_direction_aligned,regime_specific_review_only,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_partially_improved,passed_current_or_past_only,passed_current_or_past_only,0.2053,50_symbols,120_dates,0.021,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,conditionally_useful,false,0.027776,0.56,ic_rankic_available,factor_unstable,expected_direction_aligned,regime_specific_review_only,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_partially_improved,passed_current_or_past_only,passed_current_or_past_only,0.1667,50_symbols,120_dates,0.02,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,conditionally_useful,false,0.023153,0.58,ic_rankic_available,factor_unstable,expected_direction_aligned,regime_specific_review_only,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_not_improved,passed_current_or_past_only,passed_current_or_past_only,0.35,50_symbols,120_dates,0.0256,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,not_ready,false,0.040688,0.55,ic_rankic_available,factor_unstable,expected_direction_aligned,not_useful_in_any_regime,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_not_improved,passed_current_or_past_only,passed_current_or_past_only,0.7833,50_symbols,120_dates,0.0769,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,conditionally_useful,false,0.025064,0.57,ic_rankic_available,factor_unstable,expected_direction_aligned,regime_specific_review_only,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_partially_improved,passed_current_or_past_only,passed_current_or_past_only,0.2108,50_symbols,120_dates,0.0211,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d,price_volume_confirmation,conditionally_useful,false,-0.008517,0.4957,ic_rankic_available,factor_unstable,expected_direction_aligned,regime_specific_review_only,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_partially_improved,passed_current_or_past_only,passed_current_or_past_only,0.0827,50_symbols,120_dates,0.0209,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_price_volume_confirmation_5d__horizon_specific,alpha_price_volume_confirmation_5d,price_volume_confirmation,conditionally_useful,false,-0.01025,0.5043,ic_rankic_available,factor_unstable,expected_direction_aligned,regime_specific_review_only,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_partially_improved,passed_current_or_past_only,passed_current_or_past_only,0.0433,50_symbols,120_dates,0.02,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_price_volume_confirmation_5d__liquidity_filtered,alpha_price_volume_confirmation_5d,price_volume_confirmation,conditionally_useful,false,-0.003955,0.5043,ic_rankic_available,factor_unstable,expected_direction_aligned,regime_specific_review_only,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_partially_improved,passed_current_or_past_only,passed_current_or_past_only,0.2542,50_symbols,120_dates,0.0257,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned,alpha_price_volume_confirmation_5d,price_volume_confirmation,not_ready,false,0.137419,0.6154,ic_rankic_available,factor_unstable,directionally_inconsistent_or_inverse,not_useful_in_any_regime,5/6_informative,regime_sensitive_review_only,horizons_conflicting,refined_candidate_too_sparse,passed_current_or_past_only,passed_current_or_past_only,0.9607,50_symbols,120_dates,0.072,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,valid_rows_or_minimum_bucket_size_below_threshold_after_refinement,valid_rows_or_minimum_bucket_size_below_threshold_after_refinement,research_only
alpha_price_volume_confirmation_5d__risk_filtered,alpha_price_volume_confirmation_5d,price_volume_confirmation,conditionally_useful,false,-0.008257,0.4783,ic_rankic_available,factor_unstable,expected_direction_aligned,regime_specific_review_only,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_partially_improved,passed_current_or_past_only,passed_current_or_past_only,0.0892,50_symbols,120_dates,0.021,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_risk_adjusted_relative_strength__downside_risk_filtered,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,conditionally_useful,false,0.03164,0.58,ic_rankic_available,factor_unstable,expected_direction_aligned,regime_specific_review_only,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_partially_improved,passed_current_or_past_only,passed_current_or_past_only,0.2053,50_symbols,120_dates,0.021,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_risk_adjusted_relative_strength__horizon_specific,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,conditionally_useful,false,0.029455,0.58,ic_rankic_available,factor_unstable,expected_direction_aligned,regime_specific_review_only,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_partially_improved,passed_current_or_past_only,passed_current_or_past_only,0.1667,50_symbols,120_dates,0.02,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_risk_adjusted_relative_strength__liquidity_filtered,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,conditionally_useful,false,0.01943,0.53,ic_rankic_available,factor_unstable,expected_direction_aligned,regime_specific_review_only,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_not_improved,passed_current_or_past_only,passed_current_or_past_only,0.35,50_symbols,120_dates,0.0256,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_risk_adjusted_relative_strength__review_queue_conditioned,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,not_ready,false,0.037028,0.58,ic_rankic_available,factor_unstable,expected_direction_aligned,not_useful_in_any_regime,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_not_improved,passed_current_or_past_only,passed_current_or_past_only,0.7833,50_symbols,120_dates,0.0769,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_risk_adjusted_relative_strength__risk_filtered,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,conditionally_useful,false,0.040934,0.57,ic_rankic_available,factor_unstable,expected_direction_aligned,regime_specific_review_only,5/6_informative,regime_insensitive_or_weak_review_only,horizons_consistent_positive,refined_candidate_partially_improved,passed_current_or_past_only,passed_current_or_past_only,0.2108,50_symbols,120_dates,0.0211,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_vol_adj_momentum_20d__downside_risk_filtered,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,conditionally_useful,false,0.026376,0.59,ic_rankic_available,factor_unstable,expected_direction_aligned,regime_specific_review_only,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_partially_improved,passed_current_or_past_only,passed_current_or_past_only,0.2053,50_symbols,120_dates,0.021,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_vol_adj_momentum_20d__horizon_specific,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,not_ready,false,0.019695,0.58,ic_rankic_available,factor_unstable,expected_direction_aligned,not_useful_in_any_regime,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_partially_improved,passed_current_or_past_only,passed_current_or_past_only,0.1667,50_symbols,120_dates,0.02,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
alpha_vol_adj_momentum_20d__liquidity_filtered,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,conditionally_useful,false,0.014637,0.53,ic_rankic_available,factor_unstable,expected_direction_aligned,regime_specific_review_only,5/6_informative,regime_sensitive_review_only,horizons_consistent_positive,refined_candidate_not_improved,passed_current_or_past_only,passed_current_or_past_only,0.35,50_symbols,120_dates,0.0256,1_providers,evaluated_under_family_wise_awareness_see_anti_overfitting_review,rolling_window_stability_not_acceptable,rolling_window_stability_not_acceptable,research_only
