warning_id,source_id,artifact_name,warning_code,warning_severity,warning_message,affected_rows,affected_dates,affected_symbols,recommended_action,blocks_downstream,notes
DATAEXP01-W001,ashare_realtime_quotes,outputs/data_expansion/goal_data_expansion_research01/provider_health.csv,fetch_unavailable_network_disabled,warning,Selected P0/P1 source has no committed bounded replay artifact in offline mode.,0,,,Use explicit provider-health goal or live bounded fetch opt-in before relying on this source family.,false,research_only_warning
DATAEXP01-W002,market_overview,outputs/data_expansion/goal_data_expansion_research01/provider_health.csv,fetch_unavailable_network_disabled,warning,Selected P0/P1 source has no committed bounded replay artifact in offline mode.,0,,,Use explicit provider-health goal or live bounded fetch opt-in before relying on this source family.,false,research_only_warning
DATAEXP01-W003,industry_board_quotes,outputs/data_expansion/goal_data_expansion_research01/provider_health.csv,fetch_unavailable_network_disabled,warning,Selected P0/P1 source has no committed bounded replay artifact in offline mode.,0,,,Use explicit provider-health goal or live bounded fetch opt-in before relying on this source family.,false,research_only_warning
DATAEXP01-W004,concept_board_quotes,outputs/data_expansion/goal_data_expansion_research01/provider_health.csv,fetch_unavailable_network_disabled,warning,Selected P0/P1 source has no committed bounded replay artifact in offline mode.,0,,,Use explicit provider-health goal or live bounded fetch opt-in before relying on this source family.,false,research_only_warning
DATAEXP01-W005,industry_capital_flow,outputs/data_expansion/goal_data_expansion_research01/provider_health.csv,fetch_unavailable_network_disabled,warning,Selected P0/P1 source has no committed bounded replay artifact in offline mode.,0,,,Use explicit provider-health goal or live bounded fetch opt-in before relying on this source family.,false,research_only_warning
DATAEXP01-W006,individual_stock_capital_flow,outputs/data_expansion/goal_data_expansion_research01/provider_health.csv,fetch_unavailable_network_disabled,warning,Selected P0/P1 source has no committed bounded replay artifact in offline mode.,0,,,Use explicit provider-health goal or live bounded fetch opt-in before relying on this source family.,false,research_only_warning
DATAEXP01-W007,northbound_stock_connect_flow,outputs/data_expansion/goal_data_expansion_research01/provider_health.csv,fetch_unavailable_network_disabled,warning,Selected P0/P1 source has no committed bounded replay artifact in offline mode.,0,,,Use explicit provider-health goal or live bounded fetch opt-in before relying on this source family.,false,research_only_warning
DATAEXP01-W008,margin_financing_summary,outputs/data_expansion/goal_data_expansion_research01/provider_health.csv,fetch_unavailable_network_disabled,warning,Selected P0/P1 source has no committed bounded replay artifact in offline mode.,0,,,Use explicit provider-health goal or live bounded fetch opt-in before relying on this source family.,false,research_only_warning
DATAEXP01-W009,margin_financing_detail,outputs/data_expansion/goal_data_expansion_research01/provider_health.csv,fetch_unavailable_network_disabled,warning,Selected P0/P1 source has no committed bounded replay artifact in offline mode.,0,,,Use explicit provider-health goal or live bounded fetch opt-in before relying on this source family.,false,research_only_warning
DATAEXP01-W010,shareholder_count,outputs/data_expansion/goal_data_expansion_research01/provider_health.csv,fetch_unavailable_network_disabled,warning,Selected P0/P1 source has no committed bounded replay artifact in offline mode.,0,,,Use explicit provider-health goal or live bounded fetch opt-in before relying on this source family.,false,research_only_warning
DATAEXP01-W011,earnings_calendar,outputs/data_expansion/goal_data_expansion_research01/provider_health.csv,fetch_unavailable_network_disabled,warning,Selected P0/P1 source has no committed bounded replay artifact in offline mode.,0,,,Use explicit provider-health goal or live bounded fetch opt-in before relying on this source family.,false,research_only_warning
DATAEXP01-W012,northbound_stock_connect_flow;margin_financing_summary,outputs/data_expansion/goal_data_expansion_research01/expanded_date_regime_feature_panel.csv,flow_and_margin_fields_unavailable_offline_replay,warning,Northbound and margin fields are retained as unavailable context in the committed replay.,120,,,Request GOAL-DATA-PROVIDER-HEALTH-02 if live provider availability is required before Regime02.,false,research_only_warning
