capability_id,capability_name,capability_class,stage_or_goal,business_purpose,active_source_modules,public_scripts,configs,tests,required_inputs,required_outputs,audit_reports,validation_commands,verification_commands,status,preserve_requirement,legacy_or_lock_reason,recommended_action,notes
project_operating_system,Project operating system,CLASS_A_REQUIRED_ACTIVE,Project Start,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.core,scripts/run_current_trunk_validation.py,,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,PROJECT_STATE.md;README.md;CODEX.md;AGENTS.md;ROADMAP.md,,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
universe_symbol_governance,Universe and symbol governance,CLASS_A_REQUIRED_ACTIVE,Project Start,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.universe,scripts/run_safety_gate.py,configs/universe/approved_symbols.csv;configs/universe/blocked_symbols.csv,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,configs/universe/approved_symbols.csv;configs/universe/blocked_symbols.csv,,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
trading_calendar,Trading calendar,CLASS_A_REQUIRED_ACTIVE,Project Start,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.data,scripts/run_e2e_trunk_validation_through_goal06b.py,configs/project/trading_calendar.csv,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,configs/project/trading_calendar.csv,,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
module_health_gate,Module health gate,CLASS_A_REQUIRED_ACTIVE,GOAL-04.5,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.validation,scripts/audit_existing_modules.py,,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/audits/module_health_matrix.csv;outputs/audits/stage5_readiness_report.md,,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
data_source_health,Data source health,CLASS_A_REQUIRED_ACTIVE,GOAL-04.5,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.data,scripts/audit_existing_modules.py,configs/providers/source_health_contract.csv,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,configs/providers/source_health_contract.csv,,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
market_context_contract,Market context contract,CLASS_A_REQUIRED_ACTIVE,GOAL-04.5,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.market,scripts/build_pit_signal_snapshot.py,,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/features/daily_premarket_signal_snapshot.csv,,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
sector_context_contract,Sector context contract,CLASS_A_REQUIRED_ACTIVE,GOAL-04.5,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.sector,scripts/build_pit_signal_snapshot.py,,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/features/daily_premarket_signal_snapshot.csv,,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
stock_ohlcv_contract,Stock OHLCV contract,CLASS_A_REQUIRED_ACTIVE,GOAL-04.5,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.data,scripts/build_pit_signal_snapshot.py,,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/features/daily_premarket_signal_snapshot.csv,,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
event_metadata_contract,Event metadata contract,CLASS_A_REQUIRED_ACTIVE,GOAL-04.5,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.events,scripts/build_pit_signal_snapshot.py,,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/features/daily_premarket_signal_snapshot.csv,,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
nlp_contract_gate,NLP contract gate,CLASS_A_REQUIRED_ACTIVE,GOAL-04.5,Preserve reproducible clean active workflow through GOAL-06B plus review-only GOAL-06C/GOAL-06D gates and GOAL-07A design-only governance.,ashare_premarket.nlp,scripts/build_pit_signal_snapshot.py,,tests/test_workflow_contracts.py;tests/test_public_entrypoints.py;tests/test_validation_gates.py,configs;protected generated outputs from prior active stage,outputs/features/daily_premarket_signal_snapshot.csv,,python scripts/run_e2e_trunk_validation_through_goal06b.py,python scripts/run_e2e_trunk_verification_through_goal06b.py,KEEP_ACTIVE,Must remain runnable in target repository.,,KEEP_ACTIVE,Generated for clean bootstrap on 2026-06-21.
