factor_id,factor_family,score_validity_classification,accepted_for_downstream,candidate_for_rec_tiering,bucket_distribution_status,ic_rankic_status,monotonicity_alignment_status,rolling_stability_status,no_lookahead_status,rejection_reason,recommended_next_action
risk_score_numeric,risk_score,factor_signal_weak_or_unreliable,false,false,not_collapsed,ic_rankic_available,directionally_inconsistent_or_inverse,factor_unstable,passed_committed_factor_values_no_forward_return_construction,evidence_weak_mixed_or_unstable_across_horizons,continue_research_before_recommendation_tiering
downside_risk_score_numeric,downside_risk_score,factor_signal_weak_or_unreliable,false,false,not_collapsed,ic_rankic_available,directionally_inconsistent_or_inverse,factor_unstable,passed_committed_factor_values_no_forward_return_construction,evidence_weak_mixed_or_unstable_across_horizons,continue_research_before_recommendation_tiering
volatility_component,risk_component,factor_signal_weak_or_unreliable,false,false,not_collapsed,ic_rankic_available,directionally_inconsistent_or_inverse,factor_unstable,passed_committed_factor_values_no_forward_return_construction,evidence_weak_mixed_or_unstable_across_horizons,continue_research_before_recommendation_tiering
momentum_component,momentum_component,factor_signal_weak_or_unreliable,false,false,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,passed_committed_factor_values_no_forward_return_construction,evidence_weak_mixed_or_unstable_across_horizons,continue_research_before_recommendation_tiering
abnormal_positive_movement_flag,abnormal_movement_flag,factor_not_evaluable,false,false,not_collapsed,ic_rankic_unavailable_non_numeric_factor,directionally_inconsistent_or_inverse,factor_unstable,passed_committed_factor_values_no_forward_return_construction,ic_rankic_unavailable_and_bucket_spread_not_directionally_aligned,collect_or_define_more_robust_factor_candidate
abnormal_negative_movement_flag,abnormal_movement_flag,factor_signal_weak_or_unreliable,false,false,not_collapsed,ic_rankic_unavailable_non_numeric_factor,expected_direction_aligned,factor_unstable,passed_committed_factor_values_no_forward_return_construction,evidence_weak_mixed_or_unstable_across_horizons,continue_research_before_recommendation_tiering
provider_crosscheck_component,source_quality_component,factor_signal_weak_or_unreliable,false,false,not_collapsed,ic_rankic_available,directionally_inconsistent_or_inverse,factor_unstable,passed_committed_factor_values_no_forward_return_construction,evidence_weak_mixed_or_unstable_across_horizons,continue_research_before_recommendation_tiering
data_quality_risk_component,source_quality_component,factor_not_evaluable,false,false,not_collapsed,ic_rankic_unavailable_insufficient_cross_section,directionally_inconsistent_or_inverse,factor_unstable,passed_committed_factor_values_no_forward_return_construction,ic_rankic_unavailable_and_bucket_spread_not_directionally_aligned,collect_or_define_more_robust_factor_candidate
liquidity_risk_component,liquidity_component,factor_signal_weak_or_unreliable,false,false,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,passed_committed_factor_values_no_forward_return_construction,evidence_weak_mixed_or_unstable_across_horizons,continue_research_before_recommendation_tiering
trading_status_risk_component,trading_status_component,factor_not_evaluable,false,false,not_collapsed,ic_rankic_unavailable_insufficient_cross_section,directionally_inconsistent_or_inverse,factor_unstable,passed_committed_factor_values_no_forward_return_construction,ic_rankic_unavailable_and_bucket_spread_not_directionally_aligned,collect_or_define_more_robust_factor_candidate
st_status_risk_component,trading_status_component,factor_not_evaluable,false,false,not_collapsed,ic_rankic_unavailable_insufficient_cross_section,directionally_inconsistent_or_inverse,factor_unstable,passed_committed_factor_values_no_forward_return_construction,ic_rankic_unavailable_and_bucket_spread_not_directionally_aligned,collect_or_define_more_robust_factor_candidate
