trial_id,source_goal_id,original_factor_id,refinement_id,refinement_type,reason_for_refinement,no_lookahead_policy,downstream_status,accepted_for_downstream,candidate_for_rec_tiering,recommended_next_action
goal_alpha_research_refinement01_trial_01,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_benchmark_relative_strength_20d,alpha_benchmark_relative_strength_20d__risk_filtered,risk_filtered,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_02,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_benchmark_relative_strength_20d,alpha_benchmark_relative_strength_20d__downside_risk_filtered,downside_risk_filtered,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_03,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_benchmark_relative_strength_20d,alpha_benchmark_relative_strength_20d__liquidity_filtered,liquidity_filtered,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_04,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_benchmark_relative_strength_20d,alpha_benchmark_relative_strength_20d__review_queue_conditioned,review_queue_conditioned,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_05,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_benchmark_relative_strength_20d,alpha_benchmark_relative_strength_20d__horizon_specific,horizon_specific,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_06,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_vol_adj_momentum_5d,alpha_vol_adj_momentum_5d__risk_filtered,risk_filtered,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_07,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_vol_adj_momentum_5d,alpha_vol_adj_momentum_5d__downside_risk_filtered,downside_risk_filtered,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_08,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_vol_adj_momentum_5d,alpha_vol_adj_momentum_5d__liquidity_filtered,liquidity_filtered,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_09,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_vol_adj_momentum_5d,alpha_vol_adj_momentum_5d__review_queue_conditioned,review_queue_conditioned,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
goal_alpha_research_refinement01_trial_10,GOAL-ALPHA-RESEARCH-REFINEMENT-01,alpha_vol_adj_momentum_5d,alpha_vol_adj_momentum_5d__horizon_specific,horizon_specific,rolling_window_stability_not_acceptable,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,proposed_refined_candidate_not_evaluated,false,false,construct_in_future_explicit_goal_alpha_factor_candidate02_before_any_evaluation
