factor_id,factor_family,factor_name,economic_hypothesis,expected_direction,required_columns,construction_formula_plain_english,construction_formula_expression,no_lookahead_status,uses_forward_returns_in_construction,uses_benchmark_excess_returns_in_construction,uses_label_ready_fields_in_construction,source_input_artifacts,construction_status,rejection_or_missing_reason,intended_future_evaluation_goal,non_actionable_disclaimer
alpha_short_reversal_1d,short_term_reversal,Short reversal 1d,Recent one-day weakness may be reviewed as a reversal candidate.,higher_value_research_hypothesis_positive,open;high;low;close;pre_close,short-term reversal from current one-day return,negative(ret_1d),passed_current_or_past_only,false,false,false,outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-02-ALPHA-CANDIDATE-FACTOR-VALIDITY-EVALUATION-GATE,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_short_reversal_5d,short_term_reversal,Short reversal 5d,Recent five-day weakness may be reviewed as a reversal candidate.,higher_value_research_hypothesis_positive,close,short-term reversal from trailing five-day return,negative(ret_5d),passed_current_or_past_only,false,false,false,outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-02-ALPHA-CANDIDATE-FACTOR-VALIDITY-EVALUATION-GATE,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_benchmark_relative_strength_5d,benchmark_relative_strength,Benchmark relative strength 5d,Stock five-day strength relative to benchmark context may indicate research exposure.,higher_value_research_hypothesis_positive,close;benchmark_return_5d,trailing stock return minus trailing benchmark return,ret_5d - benchmark_return_5d,passed_current_or_past_only,false,false,false,outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-02-ALPHA-CANDIDATE-FACTOR-VALIDITY-EVALUATION-GATE,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,Benchmark relative strength 20d,Stock twenty-day strength relative to benchmark context may indicate research exposure.,higher_value_research_hypothesis_positive,close;benchmark_return_20d,trailing stock return minus trailing benchmark return,ret_20d - benchmark_return_20d,passed_current_or_past_only,false,false,false,outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-02-ALPHA-CANDIDATE-FACTOR-VALIDITY-EVALUATION-GATE,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,Volatility adjusted momentum 5d,Trailing momentum is more interpretable when scaled by same-window realized volatility.,higher_value_research_hypothesis_positive,close;pre_close,five-day return divided by trailing one-day return volatility,ret_5d / trailing_vol_5d,passed_current_or_past_only,false,false,false,outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-02-ALPHA-CANDIDATE-FACTOR-VALIDITY-EVALUATION-GATE,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,Volatility adjusted momentum 20d,Twenty-day momentum is more interpretable when scaled by same-window realized volatility.,higher_value_research_hypothesis_positive,close;pre_close,twenty-day return divided by trailing one-day return volatility,ret_20d / trailing_vol_20d,passed_current_or_past_only,false,false,false,outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-02-ALPHA-CANDIDATE-FACTOR-VALIDITY-EVALUATION-GATE,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_liquidity_pressure_5d,liquidity_pressure,Liquidity pressure 5d,Current volume relative to a prior trailing baseline can flag abnormal liquidity pressure.,higher_value_research_hypothesis_positive,volume,current volume divided by prior five-row average volume,volume / lagged_avg_volume_5d - 1,passed_current_or_past_only,false,false,false,outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-02-ALPHA-CANDIDATE-FACTOR-VALIDITY-EVALUATION-GATE,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_turnover_pressure_20d,liquidity_pressure,Turnover pressure 20d,Current turnover relative to a prior trailing baseline can flag abnormal participation.,higher_value_research_hypothesis_positive,turnover,current turnover divided by prior twenty-row average turnover,turnover / lagged_avg_turnover_20d - 1,passed_current_or_past_only,false,false,false,outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-02-ALPHA-CANDIDATE-FACTOR-VALIDITY-EVALUATION-GATE,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_price_volume_confirmation_5d,price_volume_confirmation,Price volume confirmation 5d,Five-day price movement confirmed by volume expansion can be reviewed separately from unconfirmed movement.,higher_value_research_hypothesis_positive,close;volume,five-day return multiplied by positive volume expansion,"ret_5d * max(volume / lagged_avg_volume_5d - 1, 0)",passed_current_or_past_only,false,false,false,outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-02-ALPHA-CANDIDATE-FACTOR-VALIDITY-EVALUATION-GATE,research_only_factor_candidate_not_investment_advice_not_trade_instruction
alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,Downside volatility adjusted strength 20d,Strength without large trailing downside volatility is a conservative research candidate.,higher_value_research_hypothesis_positive,close;pre_close,twenty-day return divided by trailing negative-return volatility,ret_20d / trailing_negative_return_vol_20d,passed_current_or_past_only,false,false,false,outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv,constructed,none,GOAL-QUANT-RESEARCH-02-ALPHA-CANDIDATE-FACTOR-VALIDITY-EVALUATION-GATE,research_only_factor_candidate_not_investment_advice_not_trade_instruction
