trial_id,factor_id,factor_family,source_candidate_goal,input_artifacts,evaluation_date_range,universe_mode,row_count,no_lookahead_status,bucket_status,ic_rankic_status,monotonicity_status,rolling_stability_status,horizon_consistency_status,score_validity_classification,accepted_for_downstream,candidate_for_rec_tiering,rejection_reason,recommended_next_action
goal_quant_research02_trial_01,alpha_short_reversal_1d,short_term_reversal,GOAL-ALPHA-FACTOR-CANDIDATE-01,outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate01_construction_warnings.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/research/goal_quant_research01_trial_registry.csv,2025-11-19..2026-05-21,provider_panel_candidate_universe_review_only,6000,passed_current_or_past_only,not_collapsed,ic_rankic_available,directionally_inconsistent_or_inverse,factor_unstable,horizons_conflicting,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
goal_quant_research02_trial_02,alpha_short_reversal_5d,short_term_reversal,GOAL-ALPHA-FACTOR-CANDIDATE-01,outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate01_construction_warnings.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/research/goal_quant_research01_trial_registry.csv,2025-11-19..2026-05-21,provider_panel_candidate_universe_review_only,6000,passed_current_or_past_only,not_collapsed,ic_rankic_available,directionally_inconsistent_or_inverse,factor_unstable,horizons_conflicting,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
goal_quant_research02_trial_03,alpha_benchmark_relative_strength_5d,benchmark_relative_strength,GOAL-ALPHA-FACTOR-CANDIDATE-01,outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate01_construction_warnings.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/research/goal_quant_research01_trial_registry.csv,2025-11-19..2026-05-21,provider_panel_candidate_universe_review_only,6000,passed_current_or_past_only,not_collapsed,ic_rankic_available,directionally_inconsistent_or_inverse,factor_unstable,horizons_conflicting,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
goal_quant_research02_trial_04,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,GOAL-ALPHA-FACTOR-CANDIDATE-01,outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate01_construction_warnings.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/research/goal_quant_research01_trial_registry.csv,2025-11-19..2026-05-21,provider_panel_candidate_universe_review_only,6000,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
goal_quant_research02_trial_05,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,GOAL-ALPHA-FACTOR-CANDIDATE-01,outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate01_construction_warnings.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/research/goal_quant_research01_trial_registry.csv,2025-11-19..2026-05-21,provider_panel_candidate_universe_review_only,6000,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
goal_quant_research02_trial_06,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,GOAL-ALPHA-FACTOR-CANDIDATE-01,outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate01_construction_warnings.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/research/goal_quant_research01_trial_registry.csv,2025-11-19..2026-05-21,provider_panel_candidate_universe_review_only,6000,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
goal_quant_research02_trial_07,alpha_liquidity_pressure_5d,liquidity_pressure,GOAL-ALPHA-FACTOR-CANDIDATE-01,outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate01_construction_warnings.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/research/goal_quant_research01_trial_registry.csv,2025-11-19..2026-05-21,provider_panel_candidate_universe_review_only,6000,passed_current_or_past_only,not_collapsed,ic_rankic_available,directionally_inconsistent_or_inverse,factor_unstable,horizons_conflicting,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
goal_quant_research02_trial_08,alpha_turnover_pressure_20d,liquidity_pressure,GOAL-ALPHA-FACTOR-CANDIDATE-01,outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate01_construction_warnings.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/research/goal_quant_research01_trial_registry.csv,2025-11-19..2026-05-21,provider_panel_candidate_universe_review_only,6000,passed_current_or_past_only,not_collapsed,ic_rankic_available,directionally_inconsistent_or_inverse,factor_unstable,horizons_conflicting,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
goal_quant_research02_trial_09,alpha_price_volume_confirmation_5d,price_volume_confirmation,GOAL-ALPHA-FACTOR-CANDIDATE-01,outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate01_construction_warnings.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/research/goal_quant_research01_trial_registry.csv,2025-11-19..2026-05-21,provider_panel_candidate_universe_review_only,6000,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
goal_quant_research02_trial_10,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,GOAL-ALPHA-FACTOR-CANDIDATE-01,outputs/research/goal_alpha_factor_candidate01_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate01_factor_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate01_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate01_construction_warnings.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/research/goal_quant_research01_factor_registry.csv;outputs/research/goal_quant_research01_score_validity_classification.csv;outputs/research/goal_quant_research01_trial_registry.csv,2025-11-19..2026-05-21,provider_panel_candidate_universe_review_only,6000,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_alpha_research_before_recommendation_tiering
