candidate_id,base_refined_factor_id,source_factor_id,refinement_transform,transformation_rationale,parameter_provenance,pit_declaration,tuned_on_holdout,research_only_status
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,identity,"baseline original refined factor value, no additional transform",none,per_date_cross_sectional_only_no_future_information,false,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,cross_sectional_zscore,per-date cross-sectional standardization to control scale/outlier heterogeneity across symbols,fixed_mean0_std1_within_date,per_date_cross_sectional_only_no_future_information,false,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,cross_sectional_rank,"per-date cross-sectional rank to obtain a monotone, outlier-robust exposure",fixed_average_rank_within_date,per_date_cross_sectional_only_no_future_information,false,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,winsorized_zscore,per-date 5/95 winsorization then standardization to bound extreme exposures before ranking-agnostic IC,fixed_winsor_q05_q95_then_std_within_date,per_date_cross_sectional_only_no_future_information,false,research_only
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,identity,"baseline original refined factor value, no additional transform",none,per_date_cross_sectional_only_no_future_information,false,research_only
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,cross_sectional_zscore,per-date cross-sectional standardization to control scale/outlier heterogeneity across symbols,fixed_mean0_std1_within_date,per_date_cross_sectional_only_no_future_information,false,research_only
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,cross_sectional_rank,"per-date cross-sectional rank to obtain a monotone, outlier-robust exposure",fixed_average_rank_within_date,per_date_cross_sectional_only_no_future_information,false,research_only
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,winsorized_zscore,per-date 5/95 winsorization then standardization to bound extreme exposures before ranking-agnostic IC,fixed_winsor_q05_q95_then_std_within_date,per_date_cross_sectional_only_no_future_information,false,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,identity,"baseline original refined factor value, no additional transform",none,per_date_cross_sectional_only_no_future_information,false,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,cross_sectional_zscore,per-date cross-sectional standardization to control scale/outlier heterogeneity across symbols,fixed_mean0_std1_within_date,per_date_cross_sectional_only_no_future_information,false,research_only
