trial_id,refined_factor_id,source_factor_id,refinement_type,source_candidate_goal,input_artifacts,evaluation_date_range,universe_mode,row_count,valid_factor_value_count,no_lookahead_status,bucket_status,ic_rankic_status,monotonicity_status,rolling_stability_status,horizon_consistency_status,refinement_improvement_status,score_validity_classification,accepted_for_downstream,candidate_for_rec_tiering,rejection_reason,recommended_next_action
goal_quant_research03_trial_001,alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,GOAL-ALPHA-FACTOR-CANDIDATE-02,outputs/research/goal_alpha_factor_candidate02_refined_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate02_refined_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate02_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate02_construction_warnings.csv;outputs/research/goal_alpha_factor_candidate02_trial_registry.csv;outputs/research/goal_alpha_factor_candidate02_intraday_redefinition_status.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/research/goal_quant_research02_alpha_factor_ic_rankic_summary.csv;outputs/research/goal_quant_research02_alpha_factor_monotonicity_summary.csv;outputs/research/goal_quant_research02_alpha_factor_rolling_stability_summary.csv;outputs/research/goal_quant_research02_alpha_factor_horizon_consistency_summary.csv;outputs/research/goal_quant_research02_alpha_factor_bucket_metrics.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,2025-11-19..2026-05-21,p02b_universe,6000,4768,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
goal_quant_research03_trial_002,alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,GOAL-ALPHA-FACTOR-CANDIDATE-02,outputs/research/goal_alpha_factor_candidate02_refined_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate02_refined_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate02_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate02_construction_warnings.csv;outputs/research/goal_alpha_factor_candidate02_trial_registry.csv;outputs/research/goal_alpha_factor_candidate02_intraday_redefinition_status.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/research/goal_quant_research02_alpha_factor_ic_rankic_summary.csv;outputs/research/goal_quant_research02_alpha_factor_monotonicity_summary.csv;outputs/research/goal_quant_research02_alpha_factor_rolling_stability_summary.csv;outputs/research/goal_quant_research02_alpha_factor_horizon_consistency_summary.csv;outputs/research/goal_quant_research02_alpha_factor_bucket_metrics.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,2025-11-19..2026-05-21,p02b_universe,6000,5000,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
goal_quant_research03_trial_003,alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,GOAL-ALPHA-FACTOR-CANDIDATE-02,outputs/research/goal_alpha_factor_candidate02_refined_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate02_refined_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate02_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate02_construction_warnings.csv;outputs/research/goal_alpha_factor_candidate02_trial_registry.csv;outputs/research/goal_alpha_factor_candidate02_intraday_redefinition_status.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/research/goal_quant_research02_alpha_factor_ic_rankic_summary.csv;outputs/research/goal_quant_research02_alpha_factor_monotonicity_summary.csv;outputs/research/goal_quant_research02_alpha_factor_rolling_stability_summary.csv;outputs/research/goal_quant_research02_alpha_factor_horizon_consistency_summary.csv;outputs/research/goal_quant_research02_alpha_factor_bucket_metrics.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,2025-11-19..2026-05-21,p02b_universe,6000,3900,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_not_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
goal_quant_research03_trial_004,alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,GOAL-ALPHA-FACTOR-CANDIDATE-02,outputs/research/goal_alpha_factor_candidate02_refined_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate02_refined_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate02_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate02_construction_warnings.csv;outputs/research/goal_alpha_factor_candidate02_trial_registry.csv;outputs/research/goal_alpha_factor_candidate02_intraday_redefinition_status.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/research/goal_quant_research02_alpha_factor_ic_rankic_summary.csv;outputs/research/goal_quant_research02_alpha_factor_monotonicity_summary.csv;outputs/research/goal_quant_research02_alpha_factor_rolling_stability_summary.csv;outputs/research/goal_quant_research02_alpha_factor_horizon_consistency_summary.csv;outputs/research/goal_quant_research02_alpha_factor_bucket_metrics.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,2025-11-19..2026-05-21,p02b_universe,6000,1300,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_not_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
goal_quant_research03_trial_005,alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,GOAL-ALPHA-FACTOR-CANDIDATE-02,outputs/research/goal_alpha_factor_candidate02_refined_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate02_refined_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate02_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate02_construction_warnings.csv;outputs/research/goal_alpha_factor_candidate02_trial_registry.csv;outputs/research/goal_alpha_factor_candidate02_intraday_redefinition_status.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/research/goal_quant_research02_alpha_factor_ic_rankic_summary.csv;outputs/research/goal_quant_research02_alpha_factor_monotonicity_summary.csv;outputs/research/goal_quant_research02_alpha_factor_rolling_stability_summary.csv;outputs/research/goal_quant_research02_alpha_factor_horizon_consistency_summary.csv;outputs/research/goal_quant_research02_alpha_factor_bucket_metrics.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,2025-11-19..2026-05-21,p02b_universe,6000,4735,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
goal_quant_research03_trial_006,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,GOAL-ALPHA-FACTOR-CANDIDATE-02,outputs/research/goal_alpha_factor_candidate02_refined_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate02_refined_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate02_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate02_construction_warnings.csv;outputs/research/goal_alpha_factor_candidate02_trial_registry.csv;outputs/research/goal_alpha_factor_candidate02_intraday_redefinition_status.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/research/goal_quant_research02_alpha_factor_ic_rankic_summary.csv;outputs/research/goal_quant_research02_alpha_factor_monotonicity_summary.csv;outputs/research/goal_quant_research02_alpha_factor_rolling_stability_summary.csv;outputs/research/goal_quant_research02_alpha_factor_horizon_consistency_summary.csv;outputs/research/goal_quant_research02_alpha_factor_bucket_metrics.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,2025-11-19..2026-05-21,p02b_universe,6000,4768,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
goal_quant_research03_trial_007,alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,horizon_specific,GOAL-ALPHA-FACTOR-CANDIDATE-02,outputs/research/goal_alpha_factor_candidate02_refined_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate02_refined_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate02_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate02_construction_warnings.csv;outputs/research/goal_alpha_factor_candidate02_trial_registry.csv;outputs/research/goal_alpha_factor_candidate02_intraday_redefinition_status.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/research/goal_quant_research02_alpha_factor_ic_rankic_summary.csv;outputs/research/goal_quant_research02_alpha_factor_monotonicity_summary.csv;outputs/research/goal_quant_research02_alpha_factor_rolling_stability_summary.csv;outputs/research/goal_quant_research02_alpha_factor_horizon_consistency_summary.csv;outputs/research/goal_quant_research02_alpha_factor_bucket_metrics.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,2025-11-19..2026-05-21,p02b_universe,6000,5000,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
goal_quant_research03_trial_008,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,liquidity_filtered,GOAL-ALPHA-FACTOR-CANDIDATE-02,outputs/research/goal_alpha_factor_candidate02_refined_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate02_refined_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate02_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate02_construction_warnings.csv;outputs/research/goal_alpha_factor_candidate02_trial_registry.csv;outputs/research/goal_alpha_factor_candidate02_intraday_redefinition_status.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/research/goal_quant_research02_alpha_factor_ic_rankic_summary.csv;outputs/research/goal_quant_research02_alpha_factor_monotonicity_summary.csv;outputs/research/goal_quant_research02_alpha_factor_rolling_stability_summary.csv;outputs/research/goal_quant_research02_alpha_factor_horizon_consistency_summary.csv;outputs/research/goal_quant_research02_alpha_factor_bucket_metrics.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,2025-11-19..2026-05-21,p02b_universe,6000,3900,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_not_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
goal_quant_research03_trial_009,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,review_queue_conditioned,GOAL-ALPHA-FACTOR-CANDIDATE-02,outputs/research/goal_alpha_factor_candidate02_refined_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate02_refined_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate02_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate02_construction_warnings.csv;outputs/research/goal_alpha_factor_candidate02_trial_registry.csv;outputs/research/goal_alpha_factor_candidate02_intraday_redefinition_status.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/research/goal_quant_research02_alpha_factor_ic_rankic_summary.csv;outputs/research/goal_quant_research02_alpha_factor_monotonicity_summary.csv;outputs/research/goal_quant_research02_alpha_factor_rolling_stability_summary.csv;outputs/research/goal_quant_research02_alpha_factor_horizon_consistency_summary.csv;outputs/research/goal_quant_research02_alpha_factor_bucket_metrics.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,2025-11-19..2026-05-21,p02b_universe,6000,1300,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_not_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
goal_quant_research03_trial_010,alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d,risk_filtered,GOAL-ALPHA-FACTOR-CANDIDATE-02,outputs/research/goal_alpha_factor_candidate02_refined_candidate_registry.csv;outputs/research/goal_alpha_factor_candidate02_refined_candidate_panel.csv;outputs/research/goal_alpha_factor_candidate02_coverage_summary.csv;outputs/research/goal_alpha_factor_candidate02_construction_warnings.csv;outputs/research/goal_alpha_factor_candidate02_trial_registry.csv;outputs/research/goal_alpha_factor_candidate02_intraday_redefinition_status.csv;outputs/research/goal_quant_research02_alpha_evaluation_panel.csv;outputs/research/goal_quant_research02_alpha_factor_score_validity_classification.csv;outputs/research/goal_quant_research02_alpha_factor_ic_rankic_summary.csv;outputs/research/goal_quant_research02_alpha_factor_monotonicity_summary.csv;outputs/research/goal_quant_research02_alpha_factor_rolling_stability_summary.csv;outputs/research/goal_quant_research02_alpha_factor_horizon_consistency_summary.csv;outputs/research/goal_quant_research02_alpha_factor_bucket_metrics.csv;outputs/datasets/goal_data_provider02b_source_backed_evaluation_panel.csv;outputs/mvp/goal_mvp01_symbol_diagnostic_table.csv;outputs/mvp/goal_mvp01_review_queue.csv;outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv;outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,2025-11-19..2026-05-21,p02b_universe,6000,4735,passed_current_or_past_only,not_collapsed,ic_rankic_available,expected_direction_aligned,factor_unstable,horizons_consistent_positive,refined_candidate_partially_improved,factor_signal_weak_or_unreliable,false,false,rolling_window_stability_not_acceptable,continue_refined_alpha_research_before_recommendation_tiering
