trial_id,source_goal_id,refined_factor_id,source_factor_id,refinement_type,reason_for_refinement,no_lookahead_policy,construction_status,accepted_for_downstream,candidate_for_rec_tiering,downstream_status,intended_future_evaluation_goal,recommended_next_action
goal_alpha_factor_candidate02_trial_001,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_002,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_003,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_004,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_005,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_006,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_vol_adj_momentum_5d__risk_filtered,alpha_vol_adj_momentum_5d,risk_filtered,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_007,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_vol_adj_momentum_5d__downside_risk_filtered,alpha_vol_adj_momentum_5d,downside_risk_filtered,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_008,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_vol_adj_momentum_5d__liquidity_filtered,alpha_vol_adj_momentum_5d,liquidity_filtered,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_009,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_vol_adj_momentum_5d__review_queue_conditioned,alpha_vol_adj_momentum_5d,review_queue_conditioned,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
goal_alpha_factor_candidate02_trial_010,GOAL-ALPHA-FACTOR-CANDIDATE-02,alpha_vol_adj_momentum_5d__horizon_specific,alpha_vol_adj_momentum_5d,horizon_specific,rolling_window_stability_not_acceptable,current_or_past_source_candidate_values_and_committed_diagnostic_groups_only,constructed,false,false,not_evaluated_not_accepted_for_downstream,GOAL-QUANT-RESEARCH-03-REFINED-ALPHA-FACTOR-VALIDITY-EVALUATION-GATE,request_goal_quant_research03_refined_alpha_factor_validity_evaluation_gate
