refined_factor_id,source_factor_id,refinement_type,economic_hypothesis,deterministic_rule_description,required_columns,no_lookahead_policy,expected_direction,reason_for_refinement,not_evaluated_status
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,Stock twenty-day strength relative to benchmark context may indicate research exposure.,Retain the source factor only for LOW_RISK_REVIEW_ONLY and MEDIUM_RISK_REVIEW_ONLY rows; mark HIGH/INSUFFICIENT risk rows missing before cross-sectional bucketing.,trade_date;symbol;risk_score_bucket,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,Stock twenty-day strength relative to benchmark context may indicate research exposure.,Retain the source factor only outside HIGH_DOWNSIDE_RISK_REVIEW_ONLY; rows with high downside-risk diagnostics are excluded before bucketing.,trade_date;symbol;downside_risk_bucket,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,Stock twenty-day strength relative to benchmark context may indicate research exposure.,"Retain the source factor only outside liquidity review queue membership, using committed MVP review categories and priorities.",trade_date;symbol;mvp_review_queue_category;mvp_review_priority_level,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,Stock twenty-day strength relative to benchmark context may indicate research exposure.,Evaluate the source factor only in the most stable committed review slice observed in diagnostics: mvp_review_queue_category=high_downside_risk_review_queue.,trade_date;symbol;mvp_review_queue_category;mvp_review_priority_level,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,Stock twenty-day strength relative to benchmark context may indicate research exposure.,Carry the source factor forward as a horizon-specific design focused on the strongest observed horizon `20d`; do not mix horizons until a later construction gate.,trade_date;symbol;factor_value_normalized_cross_sectional,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d__risk_filtered,alpha_vol_adj_momentum_5d,risk_filtered,Trailing momentum is more interpretable when scaled by same-window realized volatility.,Retain the source factor only for LOW_RISK_REVIEW_ONLY and MEDIUM_RISK_REVIEW_ONLY rows; mark HIGH/INSUFFICIENT risk rows missing before cross-sectional bucketing.,trade_date;symbol;risk_score_bucket,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d__downside_risk_filtered,alpha_vol_adj_momentum_5d,downside_risk_filtered,Trailing momentum is more interpretable when scaled by same-window realized volatility.,Retain the source factor only outside HIGH_DOWNSIDE_RISK_REVIEW_ONLY; rows with high downside-risk diagnostics are excluded before bucketing.,trade_date;symbol;downside_risk_bucket,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d__liquidity_filtered,alpha_vol_adj_momentum_5d,liquidity_filtered,Trailing momentum is more interpretable when scaled by same-window realized volatility.,"Retain the source factor only outside liquidity review queue membership, using committed MVP review categories and priorities.",trade_date;symbol;mvp_review_queue_category;mvp_review_priority_level,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d__review_queue_conditioned,alpha_vol_adj_momentum_5d,review_queue_conditioned,Trailing momentum is more interpretable when scaled by same-window realized volatility.,Evaluate the source factor only in the most stable committed review slice observed in diagnostics: mvp_review_queue_category=high_downside_risk_review_queue.,trade_date;symbol;mvp_review_queue_category;mvp_review_priority_level,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_5d__horizon_specific,alpha_vol_adj_momentum_5d,horizon_specific,Trailing momentum is more interpretable when scaled by same-window realized volatility.,Carry the source factor forward as a horizon-specific design focused on the strongest observed horizon `20d`; do not mix horizons until a later construction gate.,trade_date;symbol;factor_value_normalized_cross_sectional,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d__risk_filtered,alpha_vol_adj_momentum_20d,risk_filtered,Twenty-day momentum is more interpretable when scaled by same-window realized volatility.,Retain the source factor only for LOW_RISK_REVIEW_ONLY and MEDIUM_RISK_REVIEW_ONLY rows; mark HIGH/INSUFFICIENT risk rows missing before cross-sectional bucketing.,trade_date;symbol;risk_score_bucket,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d__downside_risk_filtered,alpha_vol_adj_momentum_20d,downside_risk_filtered,Twenty-day momentum is more interpretable when scaled by same-window realized volatility.,Retain the source factor only outside HIGH_DOWNSIDE_RISK_REVIEW_ONLY; rows with high downside-risk diagnostics are excluded before bucketing.,trade_date;symbol;downside_risk_bucket,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d__liquidity_filtered,alpha_vol_adj_momentum_20d,liquidity_filtered,Twenty-day momentum is more interpretable when scaled by same-window realized volatility.,"Retain the source factor only outside liquidity review queue membership, using committed MVP review categories and priorities.",trade_date;symbol;mvp_review_queue_category;mvp_review_priority_level,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d__review_queue_conditioned,alpha_vol_adj_momentum_20d,review_queue_conditioned,Twenty-day momentum is more interpretable when scaled by same-window realized volatility.,Evaluate the source factor only in the most stable committed review slice observed in diagnostics: mvp_review_queue_category=high_downside_risk_review_queue.,trade_date;symbol;mvp_review_queue_category;mvp_review_priority_level,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_vol_adj_momentum_20d__horizon_specific,alpha_vol_adj_momentum_20d,horizon_specific,Twenty-day momentum is more interpretable when scaled by same-window realized volatility.,Carry the source factor forward as a horizon-specific design focused on the strongest observed horizon `20d`; do not mix horizons until a later construction gate.,trade_date;symbol;factor_value_normalized_cross_sectional,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
alpha_price_volume_confirmation_5d__risk_filtered,alpha_price_volume_confirmation_5d,risk_filtered,Five-day price movement confirmed by volume expansion can be reviewed separately from unconfirmed movement.,Retain the source factor only for LOW_RISK_REVIEW_ONLY and MEDIUM_RISK_REVIEW_ONLY rows; mark HIGH/INSUFFICIENT risk rows missing before cross-sectional bucketing.,trade_date;symbol;risk_score_bucket,uses_only_current_or_past_candidate_values_and_committed_diagnostic_groups_no_forward_returns,higher_value_research_hypothesis_positive,rolling_window_stability_not_acceptable,proposed_refined_candidate_not_evaluated
