gap_dimension,current_state,target_state,gap_magnitude,solvability_class,blocking_reason,offline_action_taken,notes
symbol_count,50,>=300,250_short,requires_new_bundle,broader A-share universe not fetchable offline; requires ASHARE_ALLOW_NETWORK_INGESTION=1 + committed bundle,coverage diagnosed on current universe; no future-informed selection,Cherry-picking liquid winners is explicitly forbidden; no symbol added without a PIT-safe committed bundle.
date_count,120,>=250,130_short,requires_new_bundle,history bounded by committed replayed evidence; longer history requires a new committed bundle,temporal continuity + regime cycles diagnosed on current span,1-3y history needs externally-committed data; not offline-derivable.
regime_coverage,6_composite_regimes,more_cycles_of_each_regime,rare_regimes_underpopulated,requires_new_bundle,all committed regimes already consumed; more cycles need longer history,per-regime date balance diagnosed,Regime dimensions are fully used; sparsity is a depth (date) problem.
sector_industry_coverage,no_per_symbol_sector_industry_classification_committed,per_symbol_gics_or_sw_industry,absent,requires_new_provider,sector/industry classification source is cataloged_not_fetched,market-level sector breadth panels used where available,Per-symbol sector/industry mapping requires an approved provider fetch.
market_cap_coverage,no_per_symbol_market_cap_committed,per_symbol_free_float_market_cap,absent,requires_new_provider,market-cap source is cataloged_not_fetched,liquidity proxy used as partial offline substitute,Free-float market cap needs a fundamental provider fetch.
provider_concentration,1_offline_provider,independent_crosscheck_provider,single_provider_risk,requires_user_credential,AKShare + alternate providers are network-gated (ASHARE_ALLOW_NETWORK_INGESTION=1),1_of_70_catalog_sources_fetched; full inventory produced,Independent crosscheck requires user-authorized network ingestion.
missing_external_context,northbound_flow_margin_realtime_absent,northbound_margin_index_futures_macro_fx,multiple_families_absent,requires_user_credential,northbound/margin/real-time feeds are not_available_offline_replay,candidate families catalogued with PIT contracts,"Explicitly user_authority_required; classified, not fabricated."
target_horizon_sufficiency,1d_5d_20d_present,contractually_valid_horizons,sufficient_for_current_contract,solvable_offline_now,none,horizons confirmed present and used,No new horizon fabricated; current set is contract-valid.
transition_period_scarcity,committed_transition_summary_only,more_transition_episodes,few_episodes,requires_new_bundle,transition episodes bounded by committed date span,transition scarcity quantified,More episodes need longer committed history.
weak_oos_regions,readiness_oos_weak_across_factors,stronger_independent_evidence,systematic,requires_new_bundle,"OOS weakness is an evidence-strength problem, not a threshold problem",weak regions inherited from readiness gate evidence,"Fix requires materially stronger evidence, not lower thresholds."
concentration_risks,symbol_provider_regime_concentration,diversified_evidence,diagnosed,solvable_offline_now,none,concentration_risk_summary produced offline,Concentration is measured offline; reduction needs new evidence.
