factor_id,factor_family,factor_name,source_artifact,input_columns,factor_direction_hypothesis,expected_monotonic_direction,score_construction_no_lookahead_status,uses_forward_returns_in_construction,allowed_for_posthoc_evaluation_only,research_stage_status,trial_id,rule_version,governance_notes
risk_score_numeric,risk_score,GOAL-RISK-TIERING-01 numeric risk score,outputs/diagnostics/goal_risk_tiering01_risk_tiered_diagnostics.csv,risk_score_numeric,higher_risk_score_should_imply_lower_forward_returns,higher_factor_lower_forward_return,passed_committed_factor_values_no_forward_return_construction,false,true,research_only_candidate_under_evaluation,goal_quant_research01_trial_01,v1_governance_first_no_forward_return_tuning,Factor value is taken from committed upstream evidence; forward returns are used only after factor assignment for post-hoc diagnostics.
downside_risk_score_numeric,downside_risk_score,GOAL-RISK-TIERING-01.1 downside risk score,outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,downside_risk_score_numeric,higher_downside_risk_should_imply_lower_forward_returns,higher_factor_lower_forward_return,passed_committed_factor_values_no_forward_return_construction,false,true,research_only_candidate_under_evaluation,goal_quant_research01_trial_02,v1_governance_first_no_forward_return_tuning,Factor value is taken from committed upstream evidence; forward returns are used only after factor assignment for post-hoc diagnostics.
volatility_component,risk_component,Volatility component from downside-risk repair,outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,volatility_component,higher_volatility_component_should_imply_lower_forward_returns,higher_factor_lower_forward_return,passed_committed_factor_values_no_forward_return_construction,false,true,research_only_candidate_under_evaluation,goal_quant_research01_trial_03,v1_governance_first_no_forward_return_tuning,Factor value is taken from committed upstream evidence; forward returns are used only after factor assignment for post-hoc diagnostics.
momentum_component,momentum_component,Momentum component from downside-risk repair,outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,momentum_component,higher_momentum_component_should_imply_higher_forward_returns,higher_factor_higher_forward_return,passed_committed_factor_values_no_forward_return_construction,false,true,research_only_candidate_under_evaluation,goal_quant_research01_trial_04,v1_governance_first_no_forward_return_tuning,Factor value is taken from committed upstream evidence; forward returns are used only after factor assignment for post-hoc diagnostics.
abnormal_positive_movement_flag,abnormal_movement_flag,Abnormal positive movement flag,outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,abnormal_positive_movement_flag,abnormal_positive_movement_may_mean_revert_lower,higher_factor_lower_forward_return,passed_committed_factor_values_no_forward_return_construction,false,true,research_only_candidate_under_evaluation,goal_quant_research01_trial_05,v1_governance_first_no_forward_return_tuning,Factor value is taken from committed upstream evidence; forward returns are used only after factor assignment for post-hoc diagnostics.
abnormal_negative_movement_flag,abnormal_movement_flag,Abnormal negative movement flag,outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,abnormal_negative_movement_flag,abnormal_negative_movement_may_rebound_higher,higher_factor_higher_forward_return,passed_committed_factor_values_no_forward_return_construction,false,true,research_only_candidate_under_evaluation,goal_quant_research01_trial_06,v1_governance_first_no_forward_return_tuning,Factor value is taken from committed upstream evidence; forward returns are used only after factor assignment for post-hoc diagnostics.
provider_crosscheck_component,source_quality_component,Provider crosscheck component,outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,provider_crosscheck_component,higher_provider_crosscheck_risk_should_imply_lower_forward_returns,higher_factor_lower_forward_return,passed_committed_factor_values_no_forward_return_construction,false,true,research_only_candidate_under_evaluation,goal_quant_research01_trial_07,v1_governance_first_no_forward_return_tuning,Factor value is taken from committed upstream evidence; forward returns are used only after factor assignment for post-hoc diagnostics.
data_quality_risk_component,source_quality_component,Data quality risk component,outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,data_quality_risk_component,higher_data_quality_risk_should_imply_lower_forward_returns,higher_factor_lower_forward_return,passed_committed_factor_values_no_forward_return_construction,false,true,research_only_candidate_under_evaluation,goal_quant_research01_trial_08,v1_governance_first_no_forward_return_tuning,Factor value is taken from committed upstream evidence; forward returns are used only after factor assignment for post-hoc diagnostics.
liquidity_risk_component,liquidity_component,Liquidity risk component,outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,liquidity_risk_component,higher_liquidity_risk_should_imply_lower_forward_returns,higher_factor_lower_forward_return,passed_committed_factor_values_no_forward_return_construction,false,true,research_only_candidate_under_evaluation,goal_quant_research01_trial_09,v1_governance_first_no_forward_return_tuning,Factor value is taken from committed upstream evidence; forward returns are used only after factor assignment for post-hoc diagnostics.
trading_status_risk_component,trading_status_component,Trading status risk component,outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,trading_status_risk_component,higher_trading_status_risk_should_imply_lower_forward_returns,higher_factor_lower_forward_return,passed_committed_factor_values_no_forward_return_construction,false,true,research_only_candidate_under_evaluation,goal_quant_research01_trial_10,v1_governance_first_no_forward_return_tuning,Factor value is taken from committed upstream evidence; forward returns are used only after factor assignment for post-hoc diagnostics.
st_status_risk_component,trading_status_component,ST status risk component,outputs/diagnostics/goal_risk_tiering011_downside_risk_diagnostics.csv,st_status_risk_component,higher_st_status_risk_should_imply_lower_forward_returns,higher_factor_lower_forward_return,passed_committed_factor_values_no_forward_return_construction,false,true,research_only_candidate_under_evaluation,goal_quant_research01_trial_11,v1_governance_first_no_forward_return_tuning,Factor value is taken from committed upstream evidence; forward returns are used only after factor assignment for post-hoc diagnostics.
