source_id,akshare_category,akshare_subcategory,akshare_function_name_if_known,priority_band,approved_usage,selected_for_goal,selection_reason,fetch_mode,expected_grain,expected_primary_keys,pit_policy,storage_policy,commit_policy,provider_stability_risk,lookahead_risk,implementation_status,notes
ashare_realtime_quotes,A_share_core_market_data,A-share real-time quotes,stock_zh_a_spot_em,P0_market_regime_core,approved_for_provider_health_only,true,provider_health_only_no_research_values_committed,committed_evidence_replay,symbol_snapshot,"symbol,snapshot_time",use_snapshot_time_as_pit_available_date,metadata_or_bounded_snapshot_only,commit_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,Do not use as final research evidence without timestamp and replay contract.
ashare_daily_ohlcv,A_share_core_market_data,A-share historical daily OHLCV,stock_zh_a_hist,P0_market_regime_core,approved_for_regime_label,true,approved_p0_p1_regime_label_context,committed_evidence_replay,trade_date_symbol,"trade_date,symbol",use_trade_date_as_pit_available_date,bounded_normalized_panel_only,commit_bounded_normalized_summary_only,medium,low,selected_for_offline_replay_or_provider_health,Primary future AKShare market-regime candidate.
ashare_adjusted_prices,A_share_core_market_data,A-share adjusted prices,stock_zh_a_hist,P1_symbol_context_and_event,future_review_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,trade_date_symbol,"trade_date,symbol,adjustment_mode",use_trade_date_as_pit_available_date,bounded_normalized_panel_only,commit_bounded_normalized_summary_only,medium,medium,not_selected,Adjustment semantics must be locked before research use.
ashare_premarket_auction,A_share_core_market_data,premarket or auction data if available,stock_zh_a_hist_pre_min_em,P3_context_only_or_experimental,experimental_requires_review,false,not_selected_not_approved_p0_p1_scope,not_fetched,timestamp_symbol,"event_timestamp,symbol",publication_or_as_of_date_required_before_research_use,local_only_no_commit_raw,commit_metadata_only,high,high,not_selected,Not approved for current research evidence.
ashare_suspension_resumption,A_share_core_market_data,suspension / resumption,stock_zh_a_stop_em,P0_market_regime_core,approved_for_symbol_diagnostics,true,approved_p0_p1_symbol_context,committed_evidence_replay,event_date_symbol,"event_date,symbol",publication_or_as_of_date_required_before_research_use,bounded_event_table_only,commit_bounded_normalized_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,Useful for tradability and coverage filters.
ashare_st_risk_warning,A_share_core_market_data,ST / risk warning,stock_zh_a_st_em,P0_market_regime_core,approved_for_symbol_diagnostics,true,approved_p0_p1_symbol_context,committed_evidence_replay,date_symbol,"as_of_date,symbol",publication_or_as_of_date_required_before_research_use,bounded_status_table_only,commit_bounded_normalized_summary_only,medium,medium,selected_for_offline_replay_or_provider_health,Use only with as-of status dates.
ashare_trading_calendar,A_share_core_market_data,trading calendar,tool_trade_date_hist_sina,P0_market_regime_core,approved_for_regime_label,true,approved_p0_p1_regime_label_context,committed_evidence_replay,trade_date,trade_date,use_trade_date_as_pit_available_date,small_reference_table,commit_allowed_if_bounded,medium,low,selected_for_offline_replay_or_provider_health,Safe core alignment source when bounded.
ashare_listing_status,A_share_core_market_data,listing status,stock_info_a_code_name,P0_market_regime_core,future_review_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,symbol,"symbol,as_of_date",publication_or_as_of_date_required_before_research_use,bounded_metadata_only,commit_summary_only,medium,medium,not_selected,Current lists are survivorship-prone unless archived by date.
ashare_delisting_status,A_share_core_market_data,delisting status,stock_zh_a_new_em,P1_symbol_context_and_event,future_review_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,event_date_symbol,"event_date,symbol",publication_or_as_of_date_required_before_research_use,bounded_event_table_only,commit_summary_only,medium,medium,not_selected,Needs source-specific semantics before use.
ashare_name_changes,A_share_core_market_data,name changes,stock_info_change_name,P1_symbol_context_and_event,research_context_only,false,not_selected_not_approved_p0_p1_scope,not_fetched,event_date_symbol,"event_date,symbol",publication_or_as_of_date_required_before_research_use,bounded_event_table_only,commit_summary_only,medium,medium,not_selected,Context only until mapping is audited.
