check_id,state,current_value,threshold,evidence,fail_closed_behavior,research_only,not_trading_advice,not_for_execution
trading_date,READY,2026-06-30,2026-06-30,latest canonical trading date selected,ABSTAIN_OR_BLOCKED_IF_REQUIRED_EVIDENCE_INVALID,true,true,true
previous_trading_date,READY,2026-06-29,2026-06-29,previous committed trading date selected,ABSTAIN_OR_BLOCKED_IF_REQUIRED_EVIDENCE_INVALID,true,true,true
asof_timestamp,READY,2026-06-30T08:30:00+08:00,premarket timestamp,deterministic premarket timestamp,ABSTAIN_OR_BLOCKED_IF_REQUIRED_EVIDENCE_INVALID,true,true,true
source_freshness,READY,2026-06-30,2026-06-30,canonical latest date must match selected trading date,ABSTAIN_OR_BLOCKED_IF_REQUIRED_EVIDENCE_INVALID,true,true,true
provider_availability,READY_WITH_WARNINGS,unresolved_provider_dimensions=6,providers disclosed,provider diagnostics consumed from predecessor,ABSTAIN_OR_BLOCKED_IF_REQUIRED_EVIDENCE_INVALID,true,true,true
provider_discrepancy_state,READY_WITH_WARNINGS,6,0 preferred,quarantines remain excluded and surfaced,ABSTAIN_OR_BLOCKED_IF_REQUIRED_EVIDENCE_INVALID,true,true,true
canonical_data_availability,READY,34543,>0,canonical market data available,ABSTAIN_OR_BLOCKED_IF_REQUIRED_EVIDENCE_INVALID,true,true,true
index_context_availability,READY,true,index row for trading date,index context consumed when available,ABSTAIN_OR_BLOCKED_IF_REQUIRED_EVIDENCE_INVALID,true,true,true
regime_availability,READY_WITH_WARNINGS,false,regime row for trading date,regime context consumed when available,ABSTAIN_OR_BLOCKED_IF_REQUIRED_EVIDENCE_INVALID,true,true,true
holdings_snapshot_freshness,READY_WITH_WARNINGS,research_reference_portfolio_2026-06-30,fresh owner snapshot or explicit reference mode,no fabricated holdings,ABSTAIN_OR_BLOCKED_IF_REQUIRED_EVIDENCE_INVALID,true,true,true
holdings_snapshot_validity,READY,valid,no validation errors,invalid holdings snapshot fails closed,ABSTAIN_OR_BLOCKED_IF_REQUIRED_EVIDENCE_INVALID,true,true,true
pit_status,READY,pit_failures=0,0,current-or-past-only rows required,ABSTAIN_OR_BLOCKED_IF_REQUIRED_EVIDENCE_INVALID,true,true,true
missingness,READY_WITH_WARNINGS,41,0 preferred,missing first returns disclosed,ABSTAIN_OR_BLOCKED_IF_REQUIRED_EVIDENCE_INVALID,true,true,true
quarantine_impact,READY_WITH_WARNINGS,6,0 preferred,provider quarantine impact surfaced,ABSTAIN_OR_BLOCKED_IF_REQUIRED_EVIDENCE_INVALID,true,true,true
