factor_id,factor_family,1d_direction_status,5d_direction_status,20d_direction_status,horizon_consistency_status,conflicting_horizon_warning,strongest_horizon,weakest_horizon
alpha_short_reversal_1d,short_term_reversal,expected_direction_aligned,inverse_signal_warning,inverse_signal_warning,horizons_conflicting,true,20d,5d
alpha_short_reversal_5d,short_term_reversal,expected_direction_aligned,inverse_signal_warning,inverse_signal_warning,horizons_conflicting,true,20d,1d
alpha_benchmark_relative_strength_5d,benchmark_relative_strength,inverse_signal_warning,expected_direction_aligned,expected_direction_aligned,horizons_conflicting,true,20d,1d
alpha_benchmark_relative_strength_20d,benchmark_relative_strength,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_liquidity_pressure_5d,liquidity_pressure,inverse_signal_warning,expected_direction_aligned,expected_direction_aligned,horizons_conflicting,true,20d,1d
alpha_turnover_pressure_20d,liquidity_pressure,inverse_signal_warning,expected_direction_aligned,expected_direction_aligned,horizons_conflicting,true,20d,1d
alpha_price_volume_confirmation_5d,price_volume_confirmation,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
alpha_intraday_recovery_pressure,gap_intraday_pressure,inverse_signal_warning,expected_direction_aligned,expected_direction_aligned,horizons_conflicting,true,20d,5d
alpha_intraday_weakness_pressure,gap_intraday_pressure,expected_direction_aligned,inverse_signal_warning,inverse_signal_warning,horizons_conflicting,true,20d,5d
alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,horizons_consistent_positive,false,20d,1d
